selected_address,address_query,response_json
1024 N HERMITAGE AVE,"1024 N HERMITAGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1024 N HERMITAGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605039399""},""coordinates"":{""x"":-87.671159660569,""y"":41.900377011982},""addressComponents"":{""zip"":""60622"",""streetName"":""HERMITAGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1014"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1044"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1024 N HERMITAGE AVE, CHICAGO, IL, 60622""}]}}"
11252 S SAWYER AVE,"11252 S SAWYER AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""11252 S SAWYER AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605573867""},""coordinates"":{""x"":-87.701956611367,""y"":41.687921807974},""addressComponents"":{""zip"":""60655"",""streetName"":""SAWYER"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""11250"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""11330"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""11252 S SAWYER AVE, CHICAGO, IL, 60655""}]}}"
1129 N CAMBRIDGE AVE,"1129 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1129 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.64211150837,""y"":41.90299838523},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1129 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1131 N CAMBRIDGE AVE,"1131 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1131 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.642112081876,""y"":41.903017720666},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1131 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1133 N CAMBRIDGE AVE,"1133 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1133 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.642112655383,""y"":41.903037056101},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1133 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1135 N CAMBRIDGE AVE,"1135 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1135 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.64211322889,""y"":41.903056391537},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1135 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1137 N CAMBRIDGE AVE,"1137 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1137 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.642113802396,""y"":41.903075726973},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1137 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1139 N CAMBRIDGE AVE,"1139 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1139 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.642114375903,""y"":41.903095062409},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1139 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1141 N CAMBRIDGE AVE,"1141 N CAMBRIDGE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1141 N CAMBRIDGE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111888363""},""coordinates"":{""x"":-87.64211494941,""y"":41.903114397845},""addressComponents"":{""zip"":""60610"",""streetName"":""CAMBRIDGE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1199"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1101"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1141 N CAMBRIDGE AVE, CHICAGO, IL, 60610""}]}}"
1142 N HUDSON AVE,"1142 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1142 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640111251883,""y"":41.90091345616},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1142 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1144 N HUDSON AVE,"1144 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1144 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640111910529,""y"":41.900932274676},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1144 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1146 N HUDSON AVE,"1146 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1146 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640112569175,""y"":41.900951093193},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1146 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1148 N HUDSON AVE,"1148 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1148 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640113227821,""y"":41.90096991171},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1148 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1150 N HUDSON AVE,"1150 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1150 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640113886467,""y"":41.900988730227},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1150 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
