attom_id,address
151733824,"4739 S LOREL AVE, CHICAGO, IL, 60638-1818"
175027357,"3038 W WILSON AVE, CHICAGO, IL, 60625-4310"
13137381,"2641 W THOMAS ST, CHICAGO, IL, 60622-3462"
24960949,"419 E 91ST PL, CHICAGO, IL, 60619-7429"
17046276,"5046 W CULLOM AVE, CHICAGO, IL, 60641-1455"
90015,"8201 S CALUMET AVE, CHICAGO, IL, 60619-4817"
38994131,"11718 S PEORIA ST, CHICAGO, IL, 60643-5228"
43629695,"3835 N BERNARD ST, CHICAGO, IL, 60618-3213"
175275286,"5221 S SAINT LOUIS AVE, CHICAGO, IL, 60632-3114"
176267362,"8258 S WESTERN AVE, CHICAGO, IL, 60620-5935"
15928159,"8352 S ESSEX AVE, CHICAGO, IL, 60617-1924"
174789915,"6167 N LEMONT AVE, CHICAGO, IL, 60646-4954"
151952925,"5743 N JERSEY AVE, CHICAGO, IL, 60659-3615"
21286191,"3710 W 60TH PL, CHICAGO, IL, 60629-3917"
204334112,"8929 S CARPENTER ST, CHICAGO, IL, 60620-3456"
148486048,"9301 S HAMILTON AVE, CHICAGO, IL, 60643-6312"
173394461,"4906 S KEDVALE AVE, CHICAGO, IL, 60632-4505"
204304435,"5352 S CARPENTER ST, CHICAGO, IL, 60609-6044"
10638983,"3108 N HARDING AVE, CHICAGO, IL, 60618-6511"
13102118,"4256 W MAYPOLE AVE, CHICAGO, IL, 60624-1736"
9690942,"7414 S PERRY AVE, CHICAGO, IL, 60621-3410"
153974872,"2225 S SAWYER AVE, CHICAGO, IL, 60623-3330"
2833325,"6731 S WOLCOTT AVE, CHICAGO, IL, 60636-3239"
204297865,"6155 S KILDARE AVE, CHICAGO, IL, 60629-4905"
173970743,"7349 S KING DR, CHICAGO, IL, 60619-1727"
39039700,"3012 S SPAULDING AVE, CHICAGO, IL, 60623-4747"
3722764,"6229 S MAY ST, CHICAGO, IL, 60621-1331"
175364452,"11127 S CENTRAL PARK AVE, CHICAGO, IL, 60655-3435"
143937638,"10350 S PRAIRIE AVE, CHICAGO, IL, 60628-2827"
204304177,"4823 S BISHOP ST, CHICAGO, IL, 60609-4208"
174800787,"5210 N MEADE AVE, CHICAGO, IL, 60630-1041"
175282974,"2000 W 43RD ST, CHICAGO, IL, 60609-3001"
145030228,"165 N CANAL ST, CHICAGO, IL, 60606-1407"
38782997,"5339 S CORNELL AVE, CHICAGO, IL, 60615-5795"
175256031,"5237 S SAYRE AVE, CHICAGO, IL, 60638-1021"
175325158,"8509 S JEFFERY BLVD, CHICAGO, IL, 60617-2267"
45113063,"6939 N MENDOTA AVE, CHICAGO, IL, 60646-1325"
174985444,"7621 W MYRTLE AVE, CHICAGO, IL, 60631-1835"
4805190,"3703 S WOLCOTT AVE, CHICAGO, IL, 60609-2041"
175093023,"918 W OAKDALE AVE, CHICAGO, IL, 60657-7979"
175025477,"5522 N BERNARD ST, CHICAGO, IL, 60625-4616"
144607436,"3206 S LITUANICA AVE, CHICAGO, IL, 60608-6625"
175246186,"1724 N KARLOV AVE, CHICAGO, IL, 60639-4932"
43690426,"3200 N LAKE SHORE DR, CHICAGO, IL, 60657-3906"
175084440,"1722 W FOSTER AVE, CHICAGO, IL, 60640-2860"
39017034,"6440 N LEOTI AVE, CHICAGO, IL, 60646-2819"
176308215,"1241 W COTTAGE PL, CHICAGO, IL, 60607-2855"
175048867,"6011 W WAVELAND AVE, CHICAGO, IL, 60634-2559"
151990314,"7228 S DAMEN AVE, CHICAGO, IL, 60636-3719"
13621278,"3546 W 81ST PL, CHICAGO, IL, 60652-2528"
51450170,"2623 N MANGO AVE, CHICAGO, IL, 60639-1210"
1908972,"4143 W ARTHINGTON ST, CHICAGO, IL, 60624-3504"
174772873,"6737 N LIGHTFOOT AVE, CHICAGO, IL, 60646-1408"
23074664,"3227 N TROY ST, CHICAGO, IL, 60618-5713"
15371825,"1462 W 73RD ST, CHICAGO, IL, 60636-4037"
39011919,"680 N LAKE SHORE DR, CHICAGO, IL, 60611-4468"
145746355,"9722 S PRAIRIE AVE, CHICAGO, IL, 60628-1450"
53181816,"4949 N PULASKI RD, CHICAGO, IL, 60630-2812"
19721996,"1042 N PULASKI RD, CHICAGO, IL, 60651-3640"
150192103,"3141 W JARLATH ST, CHICAGO, IL, 60645-1129"
175157223,"4024 W CULLERTON ST, CHICAGO, IL, 60623-2848"
204297144,"5417 S LINDER AVE, CHICAGO, IL, 60638-2911"
175374988,"9720 S PRINCETON AVE, CHICAGO, IL, 60628-1209"
175247852,"5454 S MENARD AVE, CHICAGO, IL, 60638-2845"
175024374,"5101 N NOTTINGHAM AVE, CHICAGO, IL, 60656-3609"
19238123,"4612 N HAMLIN AVE, CHICAGO, IL, 60625-5704"
7789645,"2919 N HARDING AVE, CHICAGO, IL, 60618-7215"
155189760,"1525 W HOMER ST, CHICAGO, IL, 60642-1280"
175014941,"4955 N NEWLAND AVE, CHICAGO, IL, 60656-3919"
193809,"5140 S DAMEN AVE, CHICAGO, IL, 60609-5633"
3419981,"5153 S CAMPBELL AVE, CHICAGO, IL, 60632-1505"
175379709,"10126 S OGLESBY AVE, CHICAGO, IL, 60617-5627"
50055,"1000 N MILWAUKEE AVE, CHICAGO, IL, 60642-4000"
145199640,"5749 W 64TH PL, CHICAGO, IL, 60638-5530"
175271740,"3326 W 66TH PL, CHICAGO, IL, 60629-3428"
10067870,"6835 S OAKLEY AVE, CHICAGO, IL, 60636-3140"
24156281,"9109 S YATES BLVD, CHICAGO, IL, 60617-3868"
27102735,"7952 S EUCLID AVE, CHICAGO, IL, 60617-1055"
21976063,"2323 W ROSCOE ST, CHICAGO, IL, 60618-6248"
