cycle_year,committee_id,decision,correct_owner_person,correct_owner_type,correct_owner_ward,matched_target_alderman_id,include_candidate_clean,include_candidate_all,include_expanded_validated,exclude_reason,review_notes,reviewer,review_date
2003,16845,include_main_candidate,Manuel Flores,candidate,1,manuel_flores,True,True,False,,Registry name identifies Flores and active dates cover cycle,codex_registry_review,2026-06-03
2003,4357,include_main_candidate,Toni Preckwinkle,candidate,4,toni_preckwinkle,True,True,False,,Registry purpose identifies Toni Preckwinkle candidacy,codex_registry_review,2026-06-03
2003,17491,include_main_candidate,James Balcer,candidate,11,james_balcer,True,True,False,,Registry purpose identifies James Balcer candidacy,codex_registry_review,2026-06-03
2003,4410,include_main_candidate,Ed Burke,candidate,14,ed_burke,True,True,False,,Registry name identifies Edward M Burke candidate committee,codex_registry_review,2026-06-03
2003,9487,include_main_candidate,Ricardo Munoz,candidate,22,ricardo_munoz,True,True,False,,Registry name identifies Munoz candidate committee,codex_registry_review,2026-06-03
2003,14156,include_main_candidate,Michael Zalewski,candidate,23,michael_zalewski,True,True,False,,Registry name identifies Mike Zalewski candidate committee,codex_registry_review,2026-06-03
2003,9662,include_main_candidate,Billy Ocasio,candidate,26,billy_ocasio,True,True,False,,Registry purpose identifies Billy Ocasio for alderman,codex_registry_review,2026-06-03
2003,11710,include_main_candidate,Isaac Carothers,candidate,29,isaac_carothers,True,True,False,,Registry purpose identifies Isaac Carothers for alderman,codex_registry_review,2026-06-03
2003,14461,include_main_candidate,Theodore Matlak,candidate,32,theodore_matlak,True,True,False,,Registry purpose identifies Theodore Matlak seeking public office,codex_registry_review,2026-06-03
2003,15112,include_main_candidate,Theodore Matlak,candidate,32,theodore_matlak,True,True,False,,Registry purpose identifies Theodore Matlak election committee,codex_registry_review,2026-06-03
2003,4317,include_main_candidate,Dick Mell,candidate,33,dick_mell,True,True,False,,Registry purpose identifies Richard Mell alderman committee,codex_registry_review,2026-06-03
2003,4289,include_main_candidate,Burton Natarus,candidate,42,burton_natarus,True,True,False,,Registry name identifies Natarus political committee,codex_registry_review,2026-06-03
2003,4565,include_main_candidate,Brian Doherty,candidate,41,brian_doherty,True,True,False,,Registry purpose identifies Brian G Doherty committee,codex_registry_review,2026-06-03
