project_id,review_status,google_visual_type,external_building_count,external_unit_count,external_building_sqft,source_1_url,source_2_url,supports_building_type,supports_final_units,reviewer_notes,review_date
residential_multicard_20211200290000,complete,single_apartment_building,1,10,11050,https://www.crexi.com/property-records/20211200290000-CHICAGO-IL-60621-2608/d0caa43adc7491025adeee405a575a8895b7acc0,https://www.loopnet.com/property/500-w-66th-st-chicago-il-60621/17031-20211200290000/,TRUE,TRUE,"Google Street View shows one three-story apartment building. Crexi reports one 10-unit, 11,050-square-foot apartment building; LoopNet reports apartment use and 11,050 square feet.",2026-07-24
residential_multicard_11303200330000,complete,townhouse_development,9,9,17334,https://www.redfin.com/IL/Chicago/7215-N-Oakley-Ave-60645/home/13572243,https://www.homes.com/property/7215-n-oakley-ave-chicago-il/vew9grc7gveqx/,TRUE,TRUE,"The development is identified as the nine-unit 9North Townhomes. The project total equals nine 1,926-square-foot townhouse cards and is not one multifamily building.",2026-07-24
residential_multicard_13344090290000,complete,two_family_property,2,2,1702,https://www.countyoffice.org/property-record-1822-n-kildare-ave-chicago-il-60639-f52/,,TRUE,TRUE,"The external property record reports two units, 1,702 square feet, and two buildings, matching the selected construction card.",2026-07-24
residential_multicard_14302210010000,complete,new_two_unit_rear_component,1,2,1987,https://www.zillow.com/homedetails/2825-N-Damen-Ave-APT-2r-Chicago-IL-60618/2111116349_zpid/,https://www.redfin.com/IL/Chicago/2825-N-Damen-Ave-60618/home/13358997,TRUE,TRUE,"The parcel retains four older units and adds two newly constructed rear units. The 2022 two-unit card is the new component rather than the full six-unit parcel.",2026-07-24
residential_multicard_14323120380000,complete,single_mixed_use_apartment_building,1,4,6780,https://augrented.com/chicago/14323120380000-1544-w-north-ave,https://www.loopnet.com/property/1544-w-north-ave-chicago-il-60642/17031-14323120380000/,TRUE,TRUE,"The current exact-PIN records report four units and 6,780 square feet. An older three-unit construction permit predates the assessor's current four-unit classification.",2026-07-24
residential_multicard_14324110080000,complete,single_condominium_building,1,3,5001,https://www.realtor.com/realestateandhomes-detail/1841-N-Sheffield-Ave-3_Chicago_IL_60614_M93289-12075,https://www.redfin.com/IL/Chicago/1841-N-Sheffield-Ave-60614/home/13350973,TRUE,TRUE,"The external listing and current three-unit condo lineage support one three-unit building and the 5,001-square-foot assessor value.",2026-07-24
residential_multicard_14324160310000,complete,new_three_unit_component,1,3,3429,https://www.redfin.com/IL/Chicago/1813-N-Clybourn-Ave-60614/home/13350275,,TRUE,TRUE,"Redfin's property details report one building with three units and 3,429 square feet, matching the selected construction card. Current parcel totals also include older improvements.",2026-07-24
residential_multicard_16014200130000,complete,single_condominium_building,1,3,,https://www.redfin.com/IL/Chicago/2429-W-Augusta-Blvd-60622/unit-1FL/home/13286996,https://www.compass.com/listing/2429-west-augusta-boulevard-unit-3-chicago-il-60622/1662437613086428513/,TRUE,FALSE,"The permit, three successor condo PINs, and multiple listings all establish a three-unit building. The selected assessor card's four-unit value is incorrect and requires correction.",2026-07-24
residential_multicard_16152150390000,complete,two_adjacent_apartment_buildings,2,8,9272,https://www.crexi.com/property-records/16-15-215-047-0000-CHICAGO-IL-60624/3d7048df6d9ad9faf580259dc94b1d49fc60ca1c,https://www.redfin.com/IL/Chicago/4016-W-Jackson-Blvd-60624/home/40378280,TRUE,TRUE,"The historical parent parcel split into 4016 and 4018 W Jackson. Each successor is a four-unit, 4,636-square-foot building, so the two identical cards are distinct buildings.",2026-07-24
residential_multicard_16152210210000,complete,two_adjacent_apartment_buildings,2,8,9272,https://www.crexi.com/property-records/16-15-221-042-0000-CHICAGO-IL-60624/8e9d3f413e4cc83584e1fd072847a6c817ae46eb,https://www.crexi.com/property-records/16152210430000-CHICAGO-IL-60624-2876/e8aad7d0ee3a10dc2d41403bb50f46b2369011fa,TRUE,TRUE,"The historical parent parcel split into 4201 and 4203 W Gladys. Each successor is a four-unit, 4,636-square-foot building, so the two identical cards are distinct buildings.",2026-07-24
residential_multicard_17081150230000,complete,single_condominium_building,1,3,,https://www.buildzoom.com/contractor/consortian-construction-inc,https://www.zillow.com/homedetails/1514-W-Ohio-St-3-Chicago-IL-60642/463069485_zpid/,TRUE,FALSE,"The exact-address permit and three successor condo PINs establish a three-unit building. The selected assessor card's two-unit value is incorrect and requires correction.",2026-07-24
residential_multicard_20251190270000,complete,three_adjacent_apartment_buildings,3,9,13662,https://www.redfin.com/IL/Chicago/7252-S-Bennett-Ave-60649/home/39574665,https://www.crexi.com/property-records/20-25-119-031-0000-CHICAGO-IL-60649/048eb8a1917cd1f6479b07b381d6afb7e6bee6c8,TRUE,TRUE,"The parent record reports nine units in three buildings. Three same-year successor parcels each contain three units and 4,554 square feet; the fourth nearby successor is an older building.",2026-07-24
residential_multicard_13141270250000,complete,four_adjacent_apartment_buildings,4,24,,https://www.rent.com/illinois/chicago-apartments/highpoint-albany-park-on-montrose-4-lc5897049,https://www.zillow.com/homedetails/3648-W-Montrose-Ave-APT-3E-Chicago-IL-60618/2115619880_zpid/,TRUE,TRUE,"The property is marketed as a 24-unit apartment community. Four exact-address construction permits authorize six units each at 3634, 3640, 3644, and 3648 W Montrose, matching the four six-unit assessor cards.",2026-07-24
residential_multicard_13322180280000,complete,two_of_three_adjacent_three_unit_buildings,2,6,8448,https://www.redfin.com/IL/Chicago/5614-W-Grand-Ave-60639/home/191887108,https://www.loopnet.com/Listing/5618-W-Grand-Ave-Chicago-IL/29410605/,TRUE,TRUE,"The block contains three new three-unit buildings on two parcels. PIN 13-32-218-028 contains two cards totaling six units and 8,448 square feet; separate PIN 13-32-218-027 contains the third three-unit building and is already a separate project. The nine-unit LoopNet listing covers both parcels, so assigning all nine units to this multicard PIN would double count the third building.",2026-07-24
