case_number,project_id,address,in_main_500ft_sample,current_units,current_land_sqft,recommended_units,recommended_land_sqft,recommendation,evidence,permit_numbers,source_urls,remaining_issue,assessor_row_ids,assessor_history,review_date,adopted,permit_evidence,current_construction_year,current_building_sqft,other_measurement_concern,followup_reviewed,recommended_construction_year,recommended_building_sqft,followup_evidence,proposed_sample_action
1,commercial_11323190080000,1217 W ALBION CHICAGO,FALSE,29,22692,29,22692,Retain,"Original permit specifies 29 dwellings, matching the newer Assessor count. Both assessments cover the same two parcels and report the same lot.",100449927;100466026,,The 2015 year has not been recertified by this count review.,44949;70754,"11323190080000 cardNA classNA built2015: 29 homes / 44856 floor / 22692 land, assessment 2024; 11323190080000 cardNA classNA built2016: 30 homes / 44856 floor / 22692 land, assessment 2021",2026-09-15,TRUE,"100449927 | COMPLETE | 2012-07-18T00:00:00.000 | 1219 W ALBION AVE | 1219-39 WEST ALBION-LOYOLA-NEW CONSTRUCTION-3 STORY 29 DWELLING UNITS-29 ACCESSORY 27 NON-ACCESSORY PARKING SPACES
100466026 | COMPLETE | 2012-11-08T00:00:00.000 | 1219 W ALBION AVE | REVISION TO PERMIT #100449927- REVISED PARKING LAYOUT ; LANDSCAPE AND CIVIL REVISIONS ONLY -1219-39 WEST ALBION-LOYOLA",2015,44856,,FALSE,,,,Keep
2,commercial_11323190150000,6556 N SHERIDAN CHICAGO,TRUE,41,15000,41,15000,Retain,The original Loyola project announcement describes 41 apartments; the architect describes a 41-bed residence. This supports 41 over 52. The two recorded parcels retain the reported 15000-square-foot lot.,100441103,https://www.dnainfo.com/chicago/20130201/rogers-park/loyola-hotel-university-eyes-empty-lot-on-albion-avenue/;https://app.dcoz.dc.gov/Exhibits/2010/BZA/20832/Exhibit26.pdf,Shared nearby university parking is not added to this building's recorded lot.,44950;72977,"11323190150000 cardNA classNA built2014: 41 homes / 43500 floor / 15000 land, assessment 2024; 11323190150000 cardNA classNA built2017: 52 homes / 43500 floor / 15000 land, assessment 2021",2026-09-15,TRUE,100441103 | COMPLETE | 2013-05-30T00:00:00.000 | 6550 N SHERIDAN RD | ERECT NEW FOUR (4) STORY MIXED USED BUILDING PER ARCH PLANS.-6550 NORTH SHERIDAN ROAD,2014,43500,,FALSE,,,,Keep
3,commercial_13114290270000,3300 W LAWRENCE CHICAGO,TRUE,4,18750,6,18750,Hold year,"The original permit specifies six apartments plus two offices, but it expired. A later listing advertising six has a different parcel number. Four in the current assessment remains unconfirmed; do not choose six merely from the similar listing.",100211769,https://www.scribd.com/document/309749082/2250-W-Foster-pdf;https://www.realtor.com/realestateandhomes-detail/3300-W-Lawrence-Ave_Chicago_IL_60625_M87067-16187,"Recommend withholding density because construction timing remains unresolved. Retain the reported 18750-square-foot lot as evidence; do not adopt 2008, 2011 or 2012 by guesswork.",25834;46404,"13114290270000 cardNA classNA built2008: 4 homes / 12455 floor / 18750 land, assessment 2024; 13114290270000 cardNA classNA built2011: 6 homes / 12455 floor / 18750 land, assessment 2021",2026-09-15,TRUE,"100211769 | EXPIRED | 2008-07-21T00:00:00.000 | 3300 W LAWRENCE AVE | ERECT 6 D.U. WITH (2) FIRST FLOOR OFFICE SPACES MASONRY BUILDING.  6 EXTERIOR PARKING SPACES ON CONCRETE PAD.  6' HIGH 9' BY 4' MASONRY TRASH ENCLOSURE, 74' LONG 6' HIGH WOOD FENCE AS PER PLANS",2008,12455,,TRUE,,12455,"Six is the preferred original count: the exact-address new-building permit and earlier Assessor both report six. A broker sales-comparison document also implies six from its stated total and per-unit prices, but calls the property built in 2012 and vacant at its 2012 REO sale. The earlier Assessor says 2011, the selected record says 2008, and an elevator was permitted in October 2009. The search does not establish a completion year. The broker comparison is supporting evidence, not a substitute exact-parcel assessment.",Withhold density
4,commercial_13144070270000,4302 N KEDZIE CHICAGO,FALSE,9,6250,9,6250,Retain,"The completed-building MLS listing reports nine apartments and a 50-by-125-foot lot, using the exact recorded parcel. This supports the current nine and the Assessor's 6250-square-foot lot over the older count of ten.",100323448,https://www.realtor.com/realestateandhomes-detail/4300-N-Kedzie-Ave-Unit-303_Chicago_IL_60618_M81047-18910,Lot dimensions are corroboration; retain the Assessor area rather than creating a new measured area.,26258;46829,"13144070270000 cardNA classNA built2009: 9 homes / 19940 floor / 6250 land, assessment 2024; 13144070270000 cardNA classNA built2011: 10 homes / 19940 floor / 6250 land, assessment 2021",2026-09-15,TRUE,100323448 |  | 2009-12-10T00:00:00.000 | 4300 N KEDZIE AVE | REVISION TO PERMTI # 100129497 TO CHANGE THE PLUMBER OF RECORD TO GEORGE'S HEATING & PLUMBING.,2009,19940,,FALSE,,,,Keep
5,commercial_13362150350000,2229 N MILWAUKEE CHICAGO,FALSE,120,34554,120,34554,Retain,Original completed new-building permit specifies 120 apartments. Reuse the existing documented correction from 140 to 120 and the same six-parcel Assessor site.,100588900,,Existing correction already applied in production.,59391;79717,"13362150350000 cardNA classNA built2015: 140 homes / 145871 floor / 34554 land, assessment 2024; 13362150350000 cardNA classNA built2017: 120 homes / 145871 floor / 34554 land, assessment 2021",2026-09-15,TRUE,"100588900 | COMPLETE | 2015-04-06T00:00:00.000 | 2211 N MILWAUKEE AVE | NEW 120 UNIT APARTMENT BUILDING WITH GROUND FLOOR RETAIL.   - PV PANELS, LEED CERTIFICATION, PLANNED DEVELOPMENT. GREEN PERMIT PROGRAM BENEFIT TIER II",2015,145871,,FALSE,,,,Keep
6,commercial_13364270320000,2656 W NORTH CHICAGO,TRUE,33,6539,27,,Exclude conversion,"The City's agreement distinguishes 27 apartments in a converted warehouse at this parcel from six newly built apartments on other lots. The later 33 is the larger development. This observation is the warehouse conversion, not a new building.",100422195,https://occprodstoragev1.blob.core.usgovcloudapi.net/lsmatterattachmentspublic/c726e9dd-4985-437e-8b69-4ab3357e7f52.pdf;https://news.wttw.com/sites/default/files/10.5.11%20Two%20Affordable%20Housing%20Projects%20Proposed%20By%20Mayor%20Emanuel%20for%20West%20Town%20Neighborhood.pdf,6539 square feet belongs to the warehouse parcel and cannot be paired with the 33-home development. Do not manufacture six new observations from the announcement.,59463;83630,"13364270320000 cardNA classNA built2013: 33 homes / 30480 floor / 6539 land, assessment 2024; 13364270320000 cardNA classNA built2014: 27 homes / 30480 floor / 6539 land, assessment 2021",2026-09-15,TRUE,"100422195 | COMPLETE | 2011-12-15T00:00:00.000 | 1605 N WASHTENAW AVE | RENOVATION ALTERATION, CONVERSION OF A WAREHOUSE TO 27 UNITS, 5 STORY MULTI-FAMILY RESIDENTIAL APARTMENTS. DEEP FOUNDATIONS",2013,30480,,FALSE,,,,Exclude: not new construction
7,commercial_13364270350000,2644 W NORTH CHICAGO,TRUE,53,16134,53,16134,Retain,"Permit and City housing report both describe a newly built 53-apartment senior building, supporting the current count rather than 54. Keep the reported five-parcel land for that building.",100176487,https://www.chicagorehab.org/content/cms/documents/4q_2006.pdf,The adjacent family-building conversion is a separate project and is not added.,59465;83631,"13364270350000 cardNA classNA built2007: 53 homes / 51989 floor / 16134 land, assessment 2024; 13364270350000 cardNA classNA built2008: 54 homes / 51989 floor / 16134 land, assessment 2021",2026-09-15,TRUE,100176487 | COMPLETE | 2007-06-19T00:00:00.000 | 1600 N TALMAN AVE | CONSTRUCT NEW 5-STORY 53 UNIT APARTMENT BUILDING WITH PARTIAL BASEMENT PER PLANS.CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTION.,2007,51989,,FALSE,,,,Keep
8,commercial_14313080700000,1920 N MILWAUKEE CHICAGO,TRUE,44,11444,44,11444,Retain,The completed foundation and full-building permits specify 44 apartments. The existing documented correction agrees with the 2021 Assessor count; the 2024 count of 55 has no supporting building change. Both assessments report the same single parcel and 11444-square-foot lot.,100652264;100666018,https://images1.showcase.com/d2/fULlE3NGbw8dKVBJbgiN-d_0QgySJzxJf2CMcl_UQU4/document.pdf,Reuse the original correction evidence; no second correction needed.,59505;79822,"14313080700000 cardNA classNA built2018: 55 homes / 62719 floor / 11444 land, assessment 2024; 14313080700000 cardNA classNA built2020: 44 homes / 62719 floor / 11444 land, assessment 2021",2026-09-15,TRUE,"100652264 | COMPLETE | 2016-09-16T00:00:00.000 | 1920 N MILWAUKEE AVE | FOUNDATION AND SUPERSTRUCTURE ONLY FOR NEW 7-STORY, 44 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL.*******NO ELECTRICAL OR HVAC WORK******
100666018 | COMPLETE | 2016-12-15T00:00:00.000 | 1920 N MILWAUKEE AVE | FULL BUILDING PHASE- INTERIOR BUILD-OUT OF NEW 7 STORY 44 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AND INSTALLATION OF 3,775 SF GREEN ROOF AND BOCCE BALL COURT AT ROOF. FOUNDATION AND SUPERSTRUCTURE (GREEN ROOF STRUCTURE) PERMITTED UNDER 100652264",2018,62719,,FALSE,,,,Keep
9,commercial_14313220560000,1743 N LEAVITT CHICAGO,FALSE,94,57237,94,57237,Retain,"The 2018 sale announcement and completed-building rental listings describe 94 apartments at 1743 N Leavitt, supporting the newer count. Keep its two recorded parcels and reported 57237-square-foot site.",,https://therealdeal.com/chicago/2018/11/29/harlington-realty-buys-bucktown-apartment-complex-for-51m/;https://www.chicagospropertyshop.com/property-search/detail/28/12721137/1743-n-leavitt-st-chicago-il-60647/,Independent reporting supports the count; lot retention relies on Assessor parcel coverage.,59516;79833,"14313220560000 cardNA classNA built2017: 94 homes / 83302 floor / 57237 land, assessment 2024; 14313220560000 cardNA classNA built2020: 92 homes / 83302 floor / 57237 land, assessment 2021",2026-09-15,TRUE,,2017,83302,,FALSE,,,,Keep
10,commercial_16111020190000,740 N AVERS CHICAGO,TRUE,7,6000,7,6000,Retain,Original permit describes six; the documented 2020 revision specifies seven. Reuse the approved seven-unit completed-project decision and its individual 6000-square-foot parcel.,100744642;100828527,,Existing seven-unit correction remains supported; later ten is not supported.,60055;80337,"16111020190000 cardNA classNA built2019: 10 homes / 8307 floor / 6000 land, assessment 2024; 16111020190000 cardNA classNA built2020: 7 homes / 8307 floor / 6000 land, assessment 2021",2026-09-15,TRUE,"100744642 | COMPLETE | 2018-03-26T00:00:00.000 | 738 N AVERS AVE | ERECT A 3 STORY IIIB MASONRY 6 DWELLING  UNIT  BUILDING WITH BASEMENT PER PLANS[SEE PERMIT #100828527 TO CONVERT TO 7 DWELLING UNITS]
100828527 | COMPLETE | 2020-04-02T00:00:00.000 | 738 N AVERS AVE | CONVERSION FROM  6 UNIT  TO 7 UNIT APARMENT BUILDING  WITH 6 OPEN PARKING  STALLS  , PERPLANS",2020,8307,,FALSE,,,,Keep
