project_id,source_family,source_project_ids,source_addresses,component_pins,project_kind,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,far,dupac,class_values,external_multifamily,multifamily_source,source_row_ids,tax_year,evidence_ids,decision_references,decision_reason,geometry_source,geometry_evidence,x_3435,y_3435,location_resolved,zoning_group,zoning_year,zoning_source,zoning_note
commercial_09363030360000,commercial,commercial_09363030360000,6770 N NORTHWEST CHICAGO,09363030360000,commercial_entity_family,2014,8,18480,8700,TRUE,TRUE,2.1241379310344826,40.0551724137931,NA,TRUE,selected_assessor_class_and_finished_home_count,21331,2024,NA,NA,NA,historical_parcel_centroid,1170522,1124181.9019028947,1944424.3415545607,TRUE,NA,NA,NA,NA
commercial_09364150320000,commercial,commercial_09364150320000,6650 N HARLEM CHICAGO,09364150320000,commercial_entity_family,2008,8,9927,8500,TRUE,TRUE,1.1678823529411764,40.99764705882353,NA,TRUE,selected_assessor_class_and_finished_home_count,21339,2024,NA,NA,NA,historical_parcel_centroid,1231066,1127284.7399999995,1943928.9100000001,TRUE,NA,NA,NA,NA
commercial_09364190520000,commercial,commercial_09364190520000,6505 N NORTHWEST CHICAGO,09364190520000/09364190530000/09364190540000/09364190550000/09364190560000/09364190570000/09364190970000,commercial_entity_family,2007,36,74248,35986,TRUE,TRUE,2.0632468182070807,43.57694659034069,NA,TRUE,selected_assessor_class_and_finished_home_count,21345,2024,NA,NA,NA,historical_parcel_centroid,1305895/1305922/1307895/1307922/1307926/1307978/1308002,1126611.722114463,1942685.9294084194,TRUE,NA,NA,NA,NA
commercial_09364250490000,commercial,commercial_09364250490000,7240 W DEVON CHICAGO,09364250490000,commercial_entity_family,2008,10,16965,16310,TRUE,TRUE,1.0401594114040467,26.707541385652974,NA,TRUE,selected_assessor_class_and_finished_home_count,21349,2024,NA,NA,NA,historical_parcel_centroid,1230783,1126907.1456979662,1942165.841567444,TRUE,NA,NA,NA,NA
commercial_10362300510000,commercial,commercial_10362300510000,2410 W PRATT CHICAGO,10362300510000,commercial_entity_family,2019,44,44725,27857,TRUE,TRUE,1.605521053954123,68.80281437340705,NA,TRUE,selected_assessor_class_and_finished_home_count,44290,2024,NA,NA,NA,historical_parcel_centroid,444954,1158976.4001741873,1945229.060015387,TRUE,NA,NA,NA,NA
commercial_10364280090000,commercial,commercial_10364280090000,6411 N ROCKWELL CHICAGO,10364280090000/10364280350000,commercial_entity_family,2008,30,127456,23458,TRUE,TRUE,5.433370278796146,55.70807400460397,NA,TRUE,selected_assessor_class_and_finished_home_count,44348,2024,NA,NA,NA,historical_parcel_centroid,1405119/325074,1157905.6627991907,1942563.698735302,TRUE,NA,NA,NA,NA
commercial_11293000160000,commercial,commercial_11293000160000,1531 W HOWARD CHICAGO,11293000160000/11293000170000/11293000180000/11293000190000,commercial_entity_family,2020,38,34385,15011,TRUE,TRUE,2.290653520751449,110.27113450136567,NA,TRUE,selected_assessor_class_and_finished_home_count,44400,2024,permit_100702395/Elevation_Lofts_market_record,commercial_component_overrides.csv:row39,The added component completes the 38-unit Elevation Lofts site and the 2020 completion record supersedes the permit-year recode,historical_parcel_centroid,321706/321707/321708/321709,1164655.6387993044,1950246.4238502712,TRUE,NA,NA,NA,NA
commercial_11311130550000,commercial,commercial_11311130550000,2338 W MORSE CHICAGO,11311130550000,commercial_entity_family,2008,9,15048,9868,TRUE,TRUE,1.5249290636400485,39.72841507904337,NA,TRUE,selected_assessor_class_and_finished_home_count,44617,2024,NA,NA,NA,historical_parcel_centroid,183868,1159178.0848263619,1945929.230597482,TRUE,NA,NA,NA,NA
commercial_11312060010000,commercial,commercial_11312060010000,1767 W ESTES CHICAGO,11312060010000,commercial_entity_family,2019,54,54517,21200,TRUE,TRUE,2.571556603773585,110.95471698113208,NA,TRUE,selected_assessor_class_and_finished_home_count,44646,2024,NA,NA,NA,historical_parcel_centroid,447773,1163188.6838411891,1947343.8882133919,TRUE,NA,NA,NA,NA
commercial_11321040200000,commercial,commercial_11321040200000,1528 W GREENLEAF CHICAGO,11321040200000/11321040210000,commercial_entity_family,2007,18,24906,17200,TRUE,TRUE,1.4480232558139534,45.586046511627906,NA,TRUE,selected_assessor_class_and_finished_home_count,44799,2024,permits_100010473_100010476/inspections_1481062_1481065/commercial_2024_row_44799,construction_modifications.csv:row273 | commercial_reviewed_locations.csv:row8,The two original new-building permits authorize nine apartments each; both passed construction inspections on June 6 2007. Retain the reported commercial whole-pair building and land measurements and retire the partial six-home residential copy. | Original permits and 2007 passed inspections identify the same completed pair on unchanged exact parcels; use its current primary parcel location with the 2007 ward-map assignment.,parcel_universe_2025,11321040200000,1164753.6704298218,1947165.7650919463,TRUE,NA,NA,NA,NA
commercial_11321130260000,commercial,commercial_11321130260000,1412 W MORSE CHICAGO,11321130260000,commercial_entity_family,2008,16,36120,8550,TRUE,TRUE,4.224561403508772,81.51578947368421,NA,TRUE,selected_assessor_class_and_finished_home_count,44833,2024,NA,NA,NA,historical_parcel_centroid,194183,1165473.0195203407,1946298.92480858,TRUE,NA,NA,NA,NA
commercial_11321130300000,commercial,commercial_11321130300000,1444 W MORSE CHICAGO,11321130300000/11321130320000,commercial_entity_family,2008,12,24590,12000,TRUE,TRUE,2.049166666666667,43.56,NA,TRUE,selected_assessor_class_and_finished_home_count,44834,2024,NA,NA,NA,historical_parcel_centroid,194200/194205,1165173.949110267,1946264.1184003013,TRUE,NA,NA,NA,NA
commercial_11321140130000,commercial,commercial_11321140130000,1334 W MORSE CHICAGO,11321140130000/11321140140000,commercial_entity_family,2012,12,20970,5190,TRUE,TRUE,4.0404624277456644,100.71676300578035,NA,TRUE,selected_assessor_class_and_finished_home_count,44839,2024,NA,NA,NA,historical_parcel_centroid,254916/254917,1165838.2993282552,1946310.9182686098,TRUE,NA,NA,NA,NA
commercial_11321180180000,commercial,commercial_11321180180000,1323 W MORSE CHICAGO,11321180180000,commercial_entity_family,2019,50,82268,14204,TRUE,TRUE,5.791889608560969,153.33708814418475,NA,TRUE,selected_assessor_class_and_finished_home_count,44861,2024,NA,NA,NA,historical_parcel_centroid,446241,1165983.3225615334,1946095.7895166648,TRUE,NA,NA,NA,NA
commercial_11323190080000,commercial,commercial_11323190080000,1217 W ALBION CHICAGO,11323190080000/11323190090000,commercial_entity_family,2015,29,44856,22692,TRUE,TRUE,1.9767318878900053,55.66895822316235,NA,TRUE,selected_assessor_class_and_finished_home_count,44949,2024,NA,NA,NA,historical_parcel_centroid,172029/172030,1166675.5417463775,1944162.3793653285,TRUE,NA,NA,NA,NA
