project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,candidate_status,decision_reason,replacement_project_ids,replacement_check
residential_297_group_13013110490000,residential,class_297,13013110490000,1,2021,4,8519,4522,297,1301311049000012021,permit_chain_100872832,NA,class_297_assessor_rows:1301311049000012021,class_297_assessor_row:1301311049000012021,class_297_assessor_row:1301311049000012021,class_297_assessor_row:1301311049000012021,228.9757945810552,TRUE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13093160400000,residential,class_297,13093160400000,1,2022,4,5649,4800,297,1309316040000012022,permit_chain_100886761,NA,class_297_assessor_rows:1309316040000012022,class_297_assessor_row:1309316040000012022,class_297_assessor_row:1309316040000012022,class_297_assessor_row:1309316040000012022,679.2546945621717,FALSE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13114200070000,residential,class_297,13114200070000,1,2022,5,7644,5626,297,1311420007000012022,permit_chain_100858730,NA,class_297_assessor_rows:1311420007000012022,class_297_assessor_row:1311420007000012022,class_297_assessor_row:1311420007000012022,class_297_assessor_row:1311420007000012022,82.33563420076294,TRUE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13124250040000,residential,class_297,13124250040000,1,2022,3,0,3420,297,1312425004000022022,permit_chain_100915916,NA,class_297_assessor_rows:1312425004000022022,class_297_assessor_row:1312425004000022022,class_297_assessor_row:1312425004000022022,class_297_assessor_row:1312425004000022022,NA,FALSE,review_required,missing_or_nonpositive_building_area,NA,NA
residential_297_group_13131300360000,residential,class_297,13131300360000,1,2023,NA,46040,10294,297,1313130036000012024,NA,NA,class_297_assessor_rows:1313130036000012024,NA,class_297_assessor_row:1313130036000012024,class_297_assessor_row:1313130036000012024,267.11418834944993,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_297_group_13132290240000,residential,class_297,13132290240000,1,2023,3,6413,3906,297,1313229024000022023,permit_chain_100930085,NA,class_297_assessor_rows:1313229024000022023,class_297_assessor_row:1313229024000022023,class_297_assessor_row:1313229024000022023,class_297_assessor_row:1313229024000022023,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_297_group_13133050020000,residential,class_297,13133050020000,1,2025,6,7840,6600,297,1313305002000012025,permit_chain_101017004,NA,class_297_assessor_rows:1313305002000012025,class_297_assessor_row:1313305002000012025,class_297_assessor_row:1313305002000012025,class_297_assessor_row:1313305002000012025,283.80297609474854,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_297_group_13133270250000,residential,class_297,13133270250000,1,2021,4,9912,3896,297,1313327025000012021,permit_chain_100762007,NA,class_297_assessor_rows:1313327025000012021,class_297_assessor_row:1313327025000012021,class_297_assessor_row:1313327025000012021,class_297_assessor_row:1313327025000012021,NA,FALSE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13133300250000,residential,class_297,13133300250000,1,2021,3,3803,3125,297,1313330025000012021,permit_chain_100813943,NA,class_297_assessor_rows:1313330025000012021,class_297_assessor_row:1313330025000012021,class_297_assessor_row:1313330025000012021,class_297_assessor_row:1313330025000012021,419.2248248086003,TRUE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13134010150000,residential,class_297,13134010150000,1,2021,4,7769,3125,297,1313401015000012021,permit_chain_100788729,NA,class_297_assessor_rows:1313401015000012021,class_297_assessor_row:1313401015000012021,class_297_assessor_row:1313401015000012021,class_297_assessor_row:1313401015000012021,219.1928920199269,TRUE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13141040210000,residential,class_297,13141040210000,1,2024,3,4884,3875,297,1314104021000022024,permit_chain_100961575,NA,class_297_assessor_rows:1314104021000022024,class_297_assessor_row:1314104021000022024,class_297_assessor_row:1314104021000022024,class_297_assessor_row:1314104021000022024,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_297_group_13143320420000,residential,class_297,13143320420000,1,2021,4,7624,3906,297,1314332042000012021,NA,NA,class_297_assessor_rows:1314332042000012021,class_297_assessor_row:1314332042000012021,class_297_assessor_row:1314332042000012021,class_297_assessor_row:1314332042000012021,101.23928770837082,TRUE,retain_mechanical,class_297_assessor_units_available,NA,NA
residential_297_group_13154030670000,residential,class_297,13154030670000,1,2023,2,3674,5324,297,1315403067000012024,NA,NA,class_297_assessor_rows:1315403067000012024,class_297_assessor_row:1315403067000012024,class_297_assessor_row:1315403067000012024,class_297_assessor_row:1315403067000012024,NA,FALSE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
