File: commercial_component_overrides.csv
Rows: 50
Columns: 27
SHA-256 (saved bytes): 2f86a9f6f2ad63025ff9559fe8791694f92b8b28aef947a79783a205ef5dce82
Key: not declared in this report
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                 column inferred_type non_missing distinct  min    max               mean                 sd
      decision_group_id       VARCHAR          50       50    -      -                  -                  -
     source_project_ids       VARCHAR          50       45    -      -                  -                  -
                 action       VARCHAR          50       13    -      -                  -                  -
        source_vintages       VARCHAR          50        3    -      -                  -                  -
            source_rows       VARCHAR          50       50    -      -                  -                  -
       final_project_id       VARCHAR          36       36    -      -                  -                  -
retained_component_pins       VARCHAR          37       37    -      -                  -                  -
excluded_component_pins       VARCHAR          20       20    -      -                  -                  -
             final_year        BIGINT          37       14 2006   2022  2014.918918918919  5.319661530473415
            final_units        BIGINT          36       32    8    440 119.19444444444444 125.59932198280244
    final_building_sqft        BIGINT          36       34 9450 566698 162359.44444444444 182055.04383383528
        final_land_sqft        BIGINT          23       23 3125 125594  33156.86956521739 31566.112579652636
              allow_far       BOOLEAN          50        2    -      -                  -                  -
            allow_dupac       BOOLEAN          50        2    -      -                  -                  -
      membership_source       VARCHAR          50       30    -      -                  -                  -
            year_source       VARCHAR          41       20    -      -                  -                  -
           units_source       VARCHAR          41       17    -      -                  -                  -
        building_source       VARCHAR          41        6    -      -                  -                  -
            land_source       VARCHAR          41       13    -      -                  -                  -
           evidence_ids       VARCHAR          50       47    -      -                  -                  -
          evidence_urls       VARCHAR          19       19    -      -                  -                  -
             confidence       VARCHAR          50        4    -      -                  -                  -
        decision_reason       VARCHAR          50       47    -      -                  -                  -
      unresolved_caveat       VARCHAR          13       13    -      -                  -                  -
               reviewer       VARCHAR          50        5    -      -                  -                  -
            review_date          DATE          50        3    -      -                  -                  -
                 status       VARCHAR          50        1    -      -                  -                  -
