File: historical_parcels_additional_2009.gpkg
Rows: 1
Columns: 7
SHA-256 (saved bytes): 0cfecd12dd9c3e046f6ec338c2ad392fd7eeef6106664979fca3dde97219c149
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct   min   max    mean sd
           fid        BIGINT           1        1     1     1     1.0  -
   target_year        BIGINT           1        1  2009  2009  2009.0  -
      layer_id        DOUBLE           1        1   9.0   9.0     9.0  -
     object_id        BIGINT           1        1 85499 85499 85499.0  -
         pin14       VARCHAR           1        1     -     -       -  -
         pin10       VARCHAR           1        1     -     -       -  -
geometry_valid        BIGINT           1        1     1     1     1.0  -
