File: historical_parcels_additional_2014.gpkg
Rows: 1
Columns: 7
SHA-256 (saved bytes): a58e563e482596fe2e253c70a7e6d666d8a762864479813f75c4325dbdb4599b
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct    min    max     mean sd
           fid        BIGINT           1        1      1      1      1.0  -
   target_year        BIGINT           1        1   2014   2014   2014.0  -
      layer_id        DOUBLE           1        1   15.0   15.0     15.0  -
     object_id        BIGINT           1        1 110734 110734 110734.0  -
         pin14       VARCHAR           1        1      -      -        -  -
         pin10       VARCHAR           1        1      -      -        -  -
geometry_valid        BIGINT           1        1      1      1      1.0  -
