File: reviewed_parcels_additional_2017.gpkg
Rows: 20
Columns: 7
SHA-256 (saved bytes): 78d4a39b5d9128a200664ee92bca9296574c74305d2122facf588f6b06bea4b8
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct    min    max      mean                 sd
           fid        BIGINT          20       20      1     20      10.5  5.916079783099616
   target_year        BIGINT          20        1   2017   2017    2017.0                0.0
      layer_id        DOUBLE          20        1   18.0   18.0      18.0                0.0
     object_id        BIGINT          20       20 530561 746363 658251.85 104502.39268088053
         pin14       VARCHAR          20       12      -      -         -                  -
         pin10       VARCHAR          20       12      -      -         -                  -
geometry_valid        BIGINT          20        1      1      1       1.0                0.0
