pin,pin10,card_num,cards_in_history,minimum_post_1999_construction_year,latest_report_through_2022_construction_year,latest_report_through_2025_construction_year,latest_report_at_sample_end_construction_year,latest_report_all_construction_year,modal_post_1999_construction_year,latest_repeated_post_1999_construction_year,minimum_post_1999_selected_tax_year,latest_report_through_2022_selected_tax_year,latest_report_through_2025_selected_tax_year,latest_report_at_sample_end_selected_tax_year,latest_report_all_selected_tax_year,modal_post_1999_selected_tax_year,latest_repeated_post_1999_selected_tax_year,reports,first_tax_year,last_tax_year,distinct_years_all,distinct_years_post_1999,has_pre_1999_report,first_post_1999_tax_year,minimum_post_1999_year,maximum_post_1999_year,first_report_lag_minimum,revised_post_1999,unique_pin10_permit_match,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,latest_minus_minimum,latest_2025_minus_minimum,modal_minus_minimum,minimum_in_paper_window,latest_in_paper_window,latest_2025_in_paper_window,modal_in_paper_window,review_priority,minimum_permit_gap,latest_permit_gap
14203300190000,1420330019,1,1,1999,2021,2021,2021,2021,2021,2021,2004,2022,2025,2022,2026,2026,2026,27,1999,2026,3,2,TRUE,2004,1999,2021,5,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,22,22,22,FALSE,TRUE,TRUE,TRUE,1,NA,NA
20231050330000,2023105033,1,1,2006,2006,2024,2006,2024,2024,2024,2007,2007,2025,2007,2025,2025,2025,3,2007,2025,2,2,FALSE,2007,2006,2024,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,18,18,18,TRUE,FALSE,FALSE,FALSE,1,NA,NA
14313210690000,1431321069,1,1,2004,2014,2014,2014,2014,2014,2014,2005,2015,2015,2015,2015,2015,2015,2,2005,2015,2,2,FALSE,2005,2004,2014,1,TRUE,TRUE,2549766,2014-08-15,2014,2014-09-11,1,COMPLETE,1763 N WILMOT AVE,"NEW CONSTRUCTION OF 3-STORY SINGLE-FAMILY RESIDENTIAL HOME WITH FULL BASEMENT, ROOF DECK AND ATTACHED 3-CAR GARAGE PER PLANS **SELF CERT CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS & AUDIT **",10,10,10,FALSE,TRUE,TRUE,TRUE,1,-10,0
14313090140000,1431309014,1,1,2014,2014,2023,2014,2023,2023,2023,2015,2015,2025,2015,2026,2026,2026,10,1999,2026,4,2,TRUE,2015,2014,2023,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,TRUE,FALSE,FALSE,FALSE,1,NA,NA
13143320280000,1314332028,1,1,2019,2019,2024,2019,2024,2019,2024,2020,2022,2025,2022,2026,2022,2026,5,2020,2026,2,2,FALSE,2020,2019,2024,1,TRUE,TRUE,2989273,2018-11-28,2018,2019-04-18,1,COMPLETE,4048 N MONTICELLO AVE,NEW 2 STORY SINGLE FAMILY RESIDENCE WITH BASEMENT AND DETACHED 2 CAR FRAME GARAGE. INSTALL 6 FEET HIGH WOOD FENCE AND 4 FEET IRON FENCE. ALL WORK AS PER PLANS.,5,5,0,TRUE,FALSE,FALSE,TRUE,1,1,6
14193310060000,1419331006,1,1,2003,2008,2008,2008,2008,2003,2008,2005,2022,2025,2022,2026,2019,2026,27,1999,2026,5,4,TRUE,2005,2003,2008,2,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
16233130050000,1623313005,1,1,2005,2010,2010,2010,2010,2008,2010,2006,2022,2025,2022,2026,2020,2026,19,2006,2026,4,4,FALSE,2006,2005,2010,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
13242050260000,1324205026,1,1,2004,2008,2008,2008,2008,2004,2008,2005,2022,2025,2022,2026,2018,2026,28,1999,2026,3,2,TRUE,2005,2004,2008,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
14193130160000,1419313016,1,1,2004,2008,2008,2008,2008,2004,2008,2005,2022,2025,2022,2026,2013,2026,28,1999,2026,5,4,TRUE,2005,2004,2010,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
14193210100000,1419321010,1,1,2004,2008,2008,2008,2008,2004,2008,2005,2022,2025,2022,2026,2014,2026,28,1999,2026,4,3,TRUE,2005,2004,2008,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,4,4,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
