pin,pin10,card_num,cards_in_history,minimum_post_1999_construction_year,latest_report_through_2022_construction_year,latest_report_through_2025_construction_year,latest_report_at_sample_end_construction_year,latest_report_all_construction_year,modal_post_1999_construction_year,latest_repeated_post_1999_construction_year,minimum_post_1999_selected_tax_year,latest_report_through_2022_selected_tax_year,latest_report_through_2025_selected_tax_year,latest_report_at_sample_end_selected_tax_year,latest_report_all_selected_tax_year,modal_post_1999_selected_tax_year,latest_repeated_post_1999_selected_tax_year,reports,first_tax_year,last_tax_year,distinct_years_all,distinct_years_post_1999,has_pre_1999_report,first_post_1999_tax_year,minimum_post_1999_year,maximum_post_1999_year,first_report_lag_minimum,revised_post_1999,unique_pin10_permit_match,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,latest_minus_minimum,latest_2025_minus_minimum,modal_minus_minimum,minimum_in_paper_window,latest_in_paper_window,latest_2025_in_paper_window,modal_in_paper_window
09253030330000,0925303033,1,1,2005,2005,2005,2005,2005,2005,2005,2006,2022,2025,2022,2026,2026,2026,28,1999,2026,2,1,TRUE,2006,2005,2005,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09253040100000,0925304010,1,1,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,8,1999,2006,2,1,TRUE,2006,2005,2005,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09253040110000,0925304011,1,1,2005,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2006,8,1999,2006,2,1,TRUE,2006,2005,2005,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09253050430000,0925305043,1,1,2005,2007,2007,2007,2007,2005,2007,2013,2022,2025,2022,2026,2021,2026,14,2013,2026,2,2,FALSE,2013,2005,2007,8,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE
09253210100000,0925321010,1,1,2005,2006,2006,2006,2006,2005,2006,2007,2022,2025,2022,2026,2020,2026,28,1999,2026,3,2,TRUE,2007,2005,2006,2,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,FALSE,TRUE,TRUE,FALSE
09254040490000,0925404049,1,1,2017,2019,2019,2019,2019,2019,2019,2018,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2018,2017,2019,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,TRUE,TRUE,TRUE,TRUE
09254120500000,0925412050,1,1,2005,2005,2005,2005,2005,2005,2005,2006,2022,2025,2022,2026,2026,2026,28,1999,2026,2,1,TRUE,2006,2005,2005,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09254140410000,0925414041,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2021,2026,28,1999,2026,3,2,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE
09254180180000,0925418018,1,1,2017,2017,2017,2017,2017,2017,2017,2018,2022,2025,2022,2026,2026,2026,28,1999,2026,2,1,TRUE,2018,2017,2017,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,TRUE,TRUE,TRUE,TRUE
09254180520000,0925418052,1,1,2007,2007,2007,2007,2007,2007,2007,2008,2022,2025,2022,2026,2026,2026,28,1999,2026,2,1,TRUE,2008,2007,2007,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,TRUE,TRUE,TRUE,TRUE
09254190530000,0925419053,1,1,2024,NA,2024,2024,2024,2024,2024,2024,NA,2025,2025,2026,2026,2026,28,1999,2026,2,1,TRUE,2024,2024,2024,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09254250310000,0925425031,1,1,2011,2012,2012,2012,2012,2011,2012,2014,2022,2025,2022,2026,2020,2026,28,1999,2026,3,2,TRUE,2014,2011,2012,3,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,TRUE,TRUE,TRUE,TRUE
09254260020000,0925426002,1,1,2001,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2002,4,1999,2002,2,1,TRUE,2002,2001,2001,1,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE
09254320440000,0925432044,1,1,2011,2011,2011,2011,2011,2011,2011,2012,2022,2025,2022,2026,2026,2026,28,1999,2026,2,1,TRUE,2012,2011,2011,1,FALSE,TRUE,2328504,2011-11-28,2011,2011-11-28,1,COMPLETE,7239 N OCONTO AVE,DEMO EXISTING ONE STORY RESIDENCE AND CONSTRUCT NEW TWO STORY RESIDENCE ON EXISTING FOUNDATION.,0,0,0,TRUE,TRUE,TRUE,TRUE
09361040600000,0936104060,1,1,2017,2018,2018,2018,2018,2018,2018,2018,2022,2025,2022,2026,2026,2026,27,1999,2026,3,2,TRUE,2018,2017,2018,1,TRUE,TRUE,2791514,2016-10-21,2016,2016-12-09,1,COMPLETE,7027 N OZARK AVE,"ERECT A NEW FRAME  2 STORY SINGLE FAMILY HOME WITH BASEMENT, FRONT OPEN PORCH, REAR WOOD OPEN DECK, AND DETACHED 3 CAR FRAME PRIVATE GARAGE",1,1,1,TRUE,TRUE,TRUE,TRUE
09361052610000,0936105261,1,1,2017,2018,2018,2018,2018,2018,2018,2018,2022,2025,2022,2026,2026,2026,9,2018,2026,2,2,FALSE,2018,2017,2018,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,TRUE,TRUE,TRUE,TRUE
