File: all_dupac_projects.csv
Rows: 4016
Columns: 23
SHA-256 (saved bytes): 14c47d2bc8d0c054baa1ad0db7d72eaed3eace0bb223e226dd03dfbac0941eed
Key: sample, project_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

            column inferred_type non_missing distinct                 min                  max                   mean                     sd
          estimate        DOUBLE        4016     3646 -0.1456945407413666 -0.12880995661955777   -0.13714965470080911  0.0007175055175561351
         std_error        DOUBLE        4016     3650 0.06668937497588508  0.07051333365242998    0.06876143650389317 0.00017418553479731853
           p_value        DOUBLE        4016     3649 0.03915228086619951  0.06542058831369245    0.04834861166513195  0.0011772601352458625
    percent_effect        DOUBLE        4016     3645 -13.557829152462267  -12.085897539695262    -12.816003412609511    0.06257990713549548
           input_n        BIGINT        4016        1                4015                 4015                 4015.0                    0.0
                 n        BIGINT        4016        1                4015                 4015                 4015.0                    0.0
        project_id       VARCHAR        4016     4016                   -                    -                      -                      -
            sample       VARCHAR        4016        1                   -                    -                      -                      -
    current_effect        DOUBLE        4016        1 -12.816013982373159  -12.816013982373159    -12.816013982373844                    0.0
           address       VARCHAR        3733     3704                   -                    -                      -                      -
              pair       VARCHAR        4016      256                   -                    -                      -                      -
      alderman_own       VARCHAR        4016      100                   -                    -                      -                      -
              ward        BIGINT        4016       49                   1                   50     22.934511952191237     15.490098686609562
 construction_year        BIGINT        4016       17                2006                 2022     2012.6581175298804      5.383235713011609
    dwelling_units        BIGINT        4016      110                   1                  800      6.041085657370518      34.38585615595777
         land_sqft        BIGINT        4016     1625                 484              1540260      4923.660109561753     26492.349200931043
     density_dupac        DOUBLE        4016     1746  1.3181226737676643    905.9747899159664     29.004191936135904      48.06551419516985
signed_distance_ft        DOUBLE        4016     4010 -499.86631165946443   499.77916254242257    -10.552623501517418     298.23896841751866
  in_recent_review       BOOLEAN        4016        2                   -                    -                      -                      -
    screen_reasons       VARCHAR          58       12                   -                    -                      -                      -
 recorded_decision       VARCHAR         169      137                   -                    -                      -                      -
         change_pp        DOUBLE        4016     3645  -0.741815170089108   0.7301164426778968 1.0569763643363354e-05      0.062579907135496
additional_omitted        BIGINT        4016        1                   0                    0                    0.0                    0.0
