committee_id,cycle_year,cycle_start_date,cycle_end_date,alderman_id,full_name,ward_number,committee_name,committee_scope,match_rule,confidence,review_flag,committee_type,committee_name_registry,committee_purpose,committee_status,committee_creation_date,committee_status_date,active_for_cycle_auto,creation_after_cycle_end,status_before_cycle_start,activity_window_issue,manual_decision,correct_owner_person,correct_owner_type,correct_owner_ward,include_strict_candidate,include_main_named_recipient,include_candidate_clean,include_candidate_all,include_expanded_validated,manual_overrode_activity_window,exclude_reason,review_notes,reviewer,review_date
16845,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Friends for Flores,candidate,manual_review:include_main_candidate,manual,FALSE,,Friends for Flores,Raise Money and Provide Support for Candidate.,F,2002-05-30 00:00:00,2009-01-20 00:00:00,TRUE,FALSE,FALSE,FALSE,include_main_candidate,Manuel Flores,candidate,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"",Registry name identifies Flores and active dates cover cycle,codex_registry_review,2026-06-03
11637,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,1st Ward Regular Republican Organization,ward,ward_name,medium,TRUE,"",1st Ward Regular Republican Organization,To Support Republican Candidates,F,1995-11-08 00:00:00,2003-07-24 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
14492,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citizens For Tony Olivieri,ward,ward_purpose,medium,TRUE,"",Citizens For Tony Olivieri,"To Endorse For Election, Tony Olivieri For First Ward Alderman Of The City Of Chicago",F,1998-11-23 00:00:00,1999-12-15 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
16106,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citizens To Elect John G Moirano,ward,ward_purpose,medium,TRUE,"",Citizens To Elect John G Moirano,"To Elect John G Moirano As 1st Ward Alderman of Hickory Hills, Illinois",F,2001-03-28 00:00:00,2001-08-13 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
12692,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citizens for Cynthia Soto,ward,ward_purpose,medium,TRUE,Candidate,Citizens for Cynthia Soto,1-Running for 1st Ward Committeeman                                                                    2-Running for 4th District State Representative,F,1996-10-30 00:00:00,2019-02-18 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
15881,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citizens to Elect Bob Sapp,ward,ward_purpose,medium,TRUE,"",Citizens to Elect Bob Sapp,To support and promote the candidacy of Bob Sapp for 1st Ward Alderman City of Northlake 4/1/03,F,2003-02-01 00:00:00,2004-01-07 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
6897,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citizens to Elect Brown,ward,ward_purpose,medium,TRUE,"",Citizens to Elect Brown,To support the candidate of William A Brown for office of the First Ward Alderman in the City of Chicago,F,1991-01-26 00:00:00,2006-01-31 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
6937,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Citz For Art Newman,ward,ward_purpose,medium,TRUE,"",Citz For Art Newman,To Elect Arthur Newman Alderman Of Evanston's 1st Ward,F,1990-12-01 00:00:00,2002-07-30 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
5330,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Committee To Elect Tess Wackerlin,ward,ward_purpose,medium,TRUE,"",Committee To Elect Tess Wackerlin,"To Elect Tess Wackerlin Alderman 1st Ward, City Of Aurora.",F,1988-11-16 00:00:00,2000-10-10 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
15708,2003,1999-06-01,2003-05-31,manuel_flores,Manuel Flores,1,Committee to Elect Chris Cassidy,ward,ward_purpose,medium,TRUE,"",Committee to Elect Chris Cassidy,"Support and raise funds for the election of Christopher F Cassidy as Chillicothe, First Ward City Alderman",F,2001-01-18 00:00:00,2001-04-02 00:00:00,TRUE,FALSE,FALSE,FALSE,"","","","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"","","",""
