order,category,pattern
1,teacher_education,\bchicago teachers union\b
2,teacher_education,\bctu\b
3,teacher_education,\bamerican federation of teachers\b
4,teacher_education,\baft\b
5,teacher_education,\billinois federation of teachers\b
6,teacher_education,\bift\b
7,teacher_education,\billinois education association\b
8,teacher_education,\biea\b
9,teacher_education,\bipace\b
10,teacher_education,\bi p a c e\b
11,teacher_education,\bteachers union\b
12,teacher_education,\bteacher union\b
13,construction_trades,\blaborers\b
14,construction_trades,\bliuna\b
15,construction_trades,\boperating engineers\b
16,construction_trades,\blocal 150\b
17,construction_trades,\bcarpenters\b
18,construction_trades,\bibew\b
19,construction_trades,\belectrical workers\b
20,construction_trades,\bplumbers\b
21,construction_trades,\bpipefitters\b
22,construction_trades,\bpipe fitters\b
23,construction_trades,\bsheet metal\b
24,construction_trades,\biron workers\b
25,construction_trades,\bironworkers\b
26,construction_trades,\bpainters district council\b
27,construction_trades,\broofers\b
28,construction_trades,\bsprinkler fitters\b
29,construction_trades,\bbricklayers\b
30,construction_trades,\bcement masons\b
31,construction_trades,\belevator constructors\b
32,construction_trades,\bbuilding trades\b
33,construction_trades,\bheat and frost\b
34,public_sector_service,\bseiu\b
35,public_sector_service,\bservice employees\b
36,public_sector_service,\bafscme\b
37,public_sector_service,\bufcw\b
38,public_sector_service,\bunite here\b
39,public_sector_service,\bhotel employees\b
40,public_sector_service,\bnurses association\b
41,public_sector_service,\bfire fighters\b
42,public_sector_service,\bfirefighters\b
43,public_sector_service,\bmunicipal employees\b
44,public_sector_service,\bstate county and municipal employees\b
45,public_sector_service,\bstate county municipal employees\b
46,generic_labor,\bafl cio\b
47,generic_labor,\bfederation of labor\b
48,generic_labor,\blabor council\b
49,generic_labor,\bcentral labor\b
50,generic_labor,\bcope\b
51,generic_labor,\bunion pac\b
52,generic_labor,\bworking families\b
