draw,density_multifamily_far_binary,density_multifamily_dupac_binary,density_multifamily_far_continuous,density_multifamily_dupac_continuous
1,-0.3092551883081962,-0.3896438736128744,-0.2464647349145762,-0.24347812701720795
2,-0.23401167211700644,-0.32545201617824454,-0.13080919125626123,-0.08904205594338188
3,-0.20502588915370842,-0.20698095947931827,-0.10819357691166441,-0.06413939273870219
4,-0.26374593257439405,-0.41539979432753943,-0.316524923698276,-0.35268515933865424
5,-0.22330666695897966,-0.20741264091791178,-0.0918307324346652,-0.07000534289794921
6,-0.35593796789019055,-0.37379620174774786,-0.26060917826381585,-0.22959186922709318
7,-0.29173503726952843,-0.27840157793940057,-0.22580817544293139,-0.19144698498026827
8,-0.26629403447803895,-0.28387570777682036,-0.19114164443370282,-0.15504562483774392
9,-0.3490906345473483,-0.1711582048405023,-0.16802221047486116,-0.11977256576461297
10,-0.2855300301578814,-0.2835710771323793,-0.290088770676144,-0.24811748109941875
11,-0.3197296884356384,-0.28239715932622866,-0.25203840227228835,-0.1957080823503885
12,-0.1650578243939123,-0.11506605721889977,-0.22014639934325406,-0.22299469560914895
13,-0.21591434963773387,-0.2851233153591711,-0.2501369812331413,-0.21258974572973185
14,-0.253054163295787,-0.26743300721534213,-0.19874156629445955,-0.152899544527908
15,-0.16873369536280233,-0.14516762684328022,-0.13180121229013206,-0.06254152043753633
16,-0.13328607054938163,-0.16666930202091662,-0.13488943403533118,-0.13974615600659288
17,-0.17748138031517213,-0.18661459125045216,-0.18849871079825736,-0.08479724358097653
18,-0.12513859433892763,-0.10035637242447339,-0.13596505250621754,-0.12297955289012219
19,-0.26118716068633885,-0.2828652803149907,-0.14676437257582567,-0.07370621583136953
20,-0.14984318606915975,-0.17322048246114846,-0.08105608710777545,-0.06765073180302085
21,-0.20085869077733248,-0.0783379550577823,-0.21453055544516475,-0.1580782057277401
22,-0.34538730126805073,-0.1874794075740021,-0.2995478525943841,-0.28464251938529406
23,-0.2993640328576984,-0.13613014507385862,-0.24856103836873153,-0.2079597511207393
24,-0.24735302791794592,-0.24822165415418063,-0.06215595709810025,-0.06087573279339054
25,-0.26544990206981584,-0.3538946390138781,-0.2247390550383507,-0.24209908514420628
26,-0.3195232615296982,-0.37801054869075973,-0.25233807859791924,-0.20870151563570552
27,-0.3104222163272888,-0.32631539279237987,-0.1649849417391941,-0.12295143581724144
28,-0.22545583613433626,-0.3177182124510181,-0.18837225498241425,-0.19084455385549337
29,-0.2547613452381992,-0.3040121694106709,-0.08744867951832726,-0.05878103945358392
30,-0.2916821538880959,-0.16050856294574103,-0.19539386439356526,-0.16710623855838325
31,-0.27913794933933445,-0.32035656520656497,-0.21863900386920634,-0.197588427500368
32,-0.28237845371089243,-0.35204346904183736,-0.1725171437487313,-0.16812595305959166
33,-0.2579090990923816,-0.13173460453487038,-0.20448706865280958,-0.13426182957695726
34,-0.06920084825323217,-0.08742733004141172,-0.14980450717083518,-0.06755048403271273
35,-0.23916849166843276,-0.25482669367493144,-0.2110843617543157,-0.25308289815647583
36,-0.2754222029669265,-0.2608182175873191,-0.23381256855384877,-0.19525838145260935
37,-0.1051131955126649,-0.13470321155112844,-0.0638286400859626,0.015569579595027186
38,-0.31345820424610593,-0.34339653849956686,-0.23801974422724628,-0.1972387194928275
39,-0.24201100392820432,-0.24840023636025765,-0.26588882556441734,-0.20243025836120107
40,-0.25097882087265294,-0.2453692940656254,-0.14867897079834463,-0.0555732338523651
41,-0.17365271554144435,-0.06919612703045853,-0.05894633731320261,-0.04776177928815502
42,-0.33372915380110457,-0.3152531598620052,-0.25402667660175826,-0.23110351321442124
43,-0.20568009176861174,-0.03773692095382549,-0.1912562343703609,-0.12177757225858425
44,-0.22306372558768545,-0.18324250748858636,-0.19375991388942054,-0.19346570125557788
45,-0.30557433028496167,-0.30070021484323217,-0.26460915166644217,-0.21654842169087685
46,-0.2637599548621143,-0.24731751921286566,-0.1733635912332938,-0.16513775763850286
47,-0.34095730508116756,-0.21020445889537484,-0.17723434796188256,-0.11076208656662571
48,-0.22087133613766863,-0.1731967446016444,-0.21191069100902285,-0.1261380940396433
49,-0.24473180391751628,-0.34732224529613914,-0.08365808481113425,-0.12080522042532807
50,-0.248936175896906,-0.34881879151070433,-0.220313437666336,-0.1830222243536208
51,-0.31486296388137075,-0.22531504537229727,-0.1881130068698228,-0.18269914277413202
52,-0.2669069568420771,-0.147014530886465,-0.25772472508928645,-0.2672338184906139
53,-0.22330663934920297,-0.07260153344783374,-0.22903112530907152,-0.19331264136871065
54,-0.1898616831123025,-0.11519025143883695,-0.12747579432646272,-0.08353153138755143
55,-0.18269915542480866,-0.24327883099927475,-0.18695198949059766,-0.15925878065307356
