File: multifamily_pairs.csv
Rows: 161
Columns: 10
SHA-256 (saved bytes): 6534e8aeb1633ffb6fec25e645b7c20f405de1f2e5723fc9a1dfa485044b586b
Key: pair
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

            column inferred_type non_missing distinct                 min                max                mean                  sd
              pair       VARCHAR         161      161                   -                  -                   -                   -
        alderman_a       VARCHAR         161       60                   -                  -                   -                   -
        alderman_b       VARCHAR         161       71                   -                  -                   -                   -
         buildings        BIGINT         161       26                   1                 38  5.3602484472049685   6.898870192856814
             wards       VARCHAR         161       88                   -                  -                   -                   -
      baseline_gap        DOUBLE         161      161 -3.8104336520720508 3.8948862107957574 0.06289353128043565  1.1859059548841444
 baseline_stricter       VARCHAR         161       62                   -                  -                   -                   -
property_retention        DOUBLE         161       84 0.45691382765531063                1.0  0.8664534037018135 0.14767777526112255
 quarter_retention        DOUBLE         161       92  0.4909819639278557                1.0  0.8519399046540284  0.1521041389237453
    year_retention        DOUBLE         161       92  0.4609218436873748                1.0  0.8543422248223163   0.154031584850713
