File: density_comparison.csv
Rows: 16
Columns: 9
SHA-256 (saved bytes): 28e1ccec83de892e78ba48a80694b5f7781a7dc4b789c52d69a9d95a7653c46f
Key: dataset, sample, outcome
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

           column inferred_type  non_missing  distinct                  min                 max                 mean                  sd
          dataset       VARCHAR           16         4                    -                   -                    -                   -
           sample       VARCHAR           16         2                    -                   -                    -                   -
          outcome       VARCHAR           16         2                    -                   -                    -                   -
         estimate        DOUBLE           16        16  -0.1473484629908522 0.03301204006995366 -0.06781776202417425 0.06316807716035414
        std_error        DOUBLE           16        16  0.03907543697437616 0.09888301340168078  0.06254078874880191 0.01572871732416375
          p_value        DOUBLE           16        16 0.014270210134306781  0.9156692409608007  0.38324538893587423   0.329397423771348
     observations        BIGINT           16         8                  835                4016             2343.625  1368.7699526704016
       ward_pairs        BIGINT           16         5                   84                 123              103.875  18.536001007049318
band_observations        BIGINT           16         6                   92                 318              218.375   100.4907126720342
