File: quality_records.parquet
Rows: 233744
Columns: 99
SHA-256 (saved bytes): 2aa2528a62efe5a6ce2cd3a6e189f7bc0086c5cf111eae4f58f7c1a2f4d89d8f
Key: not declared in this report
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                      column inferred_type non_missing distinct                 min                max                  mean                    sd
           sale_document_num       VARCHAR      233744   224115                   -                  -                     -                     -
                         pin       VARCHAR      233744   174840                   -                  -                     -                     -
                        year       INTEGER      233744       19                2006               2022    2014.2533412622356     5.345569574923086
                   longitude        DOUBLE      233744   211392   -87.8461794943848  -87.5248067824485    -87.69421740874259   0.06396269740183377
                    latitude        DOUBLE      233744   156126    41.6448707351796   42.0226431371196     41.85236723428075   0.09938923849389922
      nearest_school_dist_ft        DOUBLE      233744   307114  17.111459708587912   6485.95138462991    1343.4109150325326     701.9594690619904
        nearest_park_dist_ft        DOUBLE      233744   238137                 0.0   6888.67785713491    1177.9959007486618     770.8243194569226
  nearest_major_road_dist_ft        DOUBLE      233744   175494   3.347683838194313 2245.1173258592203    467.31977957352507     295.7145935262612
       lake_michigan_dist_ft        DOUBLE      233744   183107   54.56014377058208  57792.31918745993     24790.16589777643     13200.76355674072
                    tax_year       INTEGER      233744       19                2006               2022    2014.2533412622356     5.345569574923086
           improvement_class       INTEGER      233744       13                 202                297     213.9555881648299    23.870199841968148
               num_buildings       INTEGER      233744        1                   1                  1                   1.0                   0.0
            is_multibuilding       BOOLEAN      233744        1                   -                  -                     -                     -
                is_multiland       BOOLEAN      233744        2                   -                  -                     -                     -
               num_landlines       INTEGER      233744        4                   1                  4    1.0090569169689918   0.10107228346908917
      tieback_proration_rate        DOUBLE      233744        1                 1.0                1.0                   1.0                   0.0
         card_proration_rate        DOUBLE      233513        3                 0.0               0.75 5.353021030949026e-06 0.0018653283667326704
                  year_built       INTEGER      233741      192                1818               2022    1932.7398958676483     33.76378538862956
               building_sqft        DOUBLE      233744     7127               400.0            30778.0    1862.2665822438223    1147.2795502093365
                   land_sqft        DOUBLE      233681     9525               245.0            70463.0     3879.218229124319    1450.8034443940437
                   num_rooms        DOUBLE      233739       53                 2.0               64.0     7.637518770936814     4.325592015661453
                num_bedrooms        DOUBLE      233743       27                 1.0               90.0    3.7950398514607926    1.9847205459387598
              num_full_baths        DOUBLE      233743       13                 1.0               14.0    1.7856577523177164     1.030467904648128
              num_half_baths        DOUBLE      233696       10                 0.0                8.0    0.2967059769957552    0.5389936455106907
              num_fireplaces        DOUBLE      233595       11                 0.0                9.0   0.18937049166292086    0.5486315982609538
              num_apartments       INTEGER      226388        6                   0                  6    0.7243714331148294     1.283972077640609
                 garage_size        DOUBLE      233742        9                 0.0                4.0    1.3464332469132634    0.8752157635805498
            hedonic_tax_year       INTEGER      233744       19                2006               2022    2014.2533412622356     5.345569574923086
                      row_id       VARCHAR      233744   244489                   -                  -                     -                     -
                   sale_date          DATE      233744     3739                   -                  -                     -                     -
                  sale_price        DOUBLE      233744   113970    10815.0808066276   285864232.870982     417817.9750954608    1028586.1353042325
          sale_price_nominal       INTEGER      233744    10483               10090          225000001    350301.90634198097     799980.4403298494
    sale_price_real_2022_raw        DOUBLE      233744   113970    10815.0808066276   285864232.870982     417817.9750954608    1028586.1353042325
sale_price_cpi_chi_all_items        DOUBLE      233744      212               197.2            278.415    228.89202247327202    20.306298451497426
 sale_price_deflator_to_2022        DOUBLE      233744      199   0.981829582936743   1.38618703515889     1.203495261534263   0.10472394521730431
                       class       INTEGER      233744       13                 202                295    213.95998186049695    23.877126502426755
           coordinate_source       VARCHAR      233744        1                   -                  -                     -                     -
             coordinate_year       INTEGER      233744       19                2006               2022    2014.2533412622356     5.345569574923086
                        ward       INTEGER      233744       45                   1                 50    25.186263604627285    13.440256704112578
               neighbor_ward       INTEGER      233744       45                   1                 50    24.528578273666916    13.847239508589428
                ward_pair_id       VARCHAR      233744      138                   -                  -                     -                     -
                  segment_id       VARCHAR      143095     2360                   -                  -                     -                     -
                      dist_m        DOUBLE      233744   157876   0.311350136612877     8682.014549416     567.9519062796512     751.7210258884758
               signed_dist_m        DOUBLE      233285   192337   -8634.58691687031     8682.014549416    129.95167866163192     933.4230728142153
                        sign       INTEGER      233285        2                  -1                  1   0.07152195811989627    0.9974411632770966
                alderman_own       VARCHAR      233529      111                   -                  -                     -                     -
           alderman_neighbor       VARCHAR      233514      111                   -                  -                     -                     -
              strictness_own        DOUBLE      233524      102  -3.445576092831627  3.335724428970233   0.12905439326622736    0.9346804280722038
         strictness_neighbor        DOUBLE      233505      102  -3.445576092831627  3.335724428970233   0.05268519698460195    0.9335752258510389
                   sale_year        DOUBLE      233744       17              2006.0             2022.0    2014.2533412622356     5.345569574923086
                building_age        DOUBLE      233741      191                 0.0              189.0     81.51335880311969     33.78578205077042
                 baths_total        DOUBLE      233743       21                 1.0               14.0     1.933980910658287     1.084249672692747
                  has_garage       INTEGER      233744        2                   0                  1    0.7549541378602231    0.4301153090144592
  improvement_class_mismatch       BOOLEAN      233744        2                   -                  -                     -                     -
      baseline_sale_eligible       BOOLEAN      233744        1                   -                  -                     -                     -
                    log_sqft        DOUBLE      233744     7122   5.991464547107982 10.334555428023798     7.396107489889198    0.4910780661451455
               log_land_sqft        DOUBLE      233681     7834   5.501258210544727  11.16284302833769      8.19912598196974    0.3741160293679133
            log_building_age        DOUBLE      233489      144                 0.0  5.241747015059643     4.214945590867293    0.8129802333990165
                log_bedrooms        DOUBLE      233743       27                 0.0  4.499809670330265    1.2405699288249061   0.40764173339592547
                   log_baths        DOUBLE      233743       27                 0.0 2.6390573296152584    0.5351504383625132   0.48205861740754613
                year_quarter       VARCHAR      233744       57                   -                  -                     -                     -
                  year_month       VARCHAR      233744      219                   -                  -                     -                     -
    nearest_cta_stop_dist_ft        DOUBLE      233744   230176   66.43049415249592 36244.696683707705    7090.8166778005925     5980.318474770282
               is_mydec_date       BOOLEAN      233744        2                   -                  -                     -                     -
              sale_deed_type       VARCHAR      233744        2                   -                  -                     -                     -
             mydec_deed_type       VARCHAR      233744        3                   -                  -                     -                     -
                   sale_type       VARCHAR      233744        2                   -                  -                     -                     -
              signed_dist_ft        DOUBLE      233285   209378 -28328.697233826475   28484.2997028084      426.350651777007     3062.411656214594
                         era       VARCHAR      233744        2                   -                  -                     -                     -
                nominal_ppsf        DOUBLE      233744   160042  1.4903129657228018 154025.97402597402    196.89335694793235     541.0975760091804
           complete_controls       BOOLEAN      233744        2                   -                  -                     -                     -
                  in_main_rd       BOOLEAN      233744        2                   -                  -                     -                     -
          in_current_main_rd       BOOLEAN      233744        2                   -                  -                     -                     -
              flag_high_ppsf       BOOLEAN      233744        2                   -                  -                     -                     -
            flag_review_ppsf       BOOLEAN      233744        2                   -                  -                     -                     -
               flag_low_ppsf       BOOLEAN      233744        2                   -                  -                     -                     -
   flag_rooms_below_bedrooms       BOOLEAN      233744        2                   -                  -                     -                     -
   flag_future_building_year       BOOLEAN      233744        1                   -                  -                     -                     -
flag_negative_characteristic       BOOLEAN      233744        1                   -                  -                     -                     -
          flag_missing_rooms       BOOLEAN      233744        2                   -                  -                     -                     -
     flag_missing_half_baths       BOOLEAN      233744        2                   -                  -                     -                     -
         flag_missing_garage       BOOLEAN      233744        2                   -                  -                     -                     -
     flag_unknown_apartments       BOOLEAN      233744        2                   -                  -                     -                     -
      flag_subclass_mismatch       BOOLEAN      233744        2                   -                  -                     -                     -
        flag_month_precision       BOOLEAN      233744        2                   -                  -                     -                     -
            actual_card_rows       INTEGER      233744        1                   1                  1                   1.0                   0.0
  flag_multiple_source_cards       BOOLEAN      233744        1                   -                  -                     -                     -
                  char_rooms       VARCHAR      233739       90                   -                  -                     -                     -
                   char_beds       VARCHAR      233743       55                   -                  -                     -                     -
                  char_fbath       VARCHAR      233743       25                   -                  -                     -                     -
                  char_hbath       VARCHAR      233696       17                   -                  -                     -                     -
                   char_apts       VARCHAR      226388        6                   -                  -                     -                     -
              char_type_resd       VARCHAR      233744        5                   -                  -                     -                     -
              char_cnst_qlty       VARCHAR      233744        3                   -                  -                     -                     -
             char_repair_cnd       VARCHAR      233744        3                   -                  -                     -                     -
 flag_missing_quality_fields       BOOLEAN      233744        1                   -                  -                     -                     -
           raw_document_rows       INTEGER      233744        1                   1                  1                   1.0                   0.0
           raw_document_pins       INTEGER      233744        1                   1                  1                   1.0                   0.0
 flag_document_multiple_pins       BOOLEAN      233744        1                   -                  -                     -                     -
