File: sales_sample_definition_spatial_coverage.csv
Rows: 6
Columns: 6
SHA-256 (saved bytes): 03e5e98b9d6b5d3e7d0dd3b7c237d84f04414512525283371ba15c1199377b31
Key: not declared in this report
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                          column inferred_type non_missing distinct    min    max               mean                 sd
                          sample       VARCHAR           6        6      -      -                  -                  -
                      citywide_n        BIGINT           6        6 233457 296779           261005.5  28289.14902749816
          coordinate_available_n        BIGINT           6        6 233457 296778 261005.16666666666  28288.67601296792
              spatial_complete_n        BIGINT           6        6 142791 182006 159868.33333333334 17548.886912470167
                  within_500ft_n        BIGINT           6        6  58720  74869            65756.5  7238.355524564954
within_500ft_complete_controls_n        BIGINT           6        6  58600  74714  65619.33333333333  7220.866365379342
