File: splits_through2014.parquet
Rows: 16735
Columns: 12
SHA-256 (saved bytes): 28a418602b3ae81a51081236266305954b942ad8030e7b3d29e0f1782a19f197
Key: method, draw, half, alderman
Types: Stored Parquet schema.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

    column inferred_type non_missing distinct                 min                max                   mean                  sd
  alderman       VARCHAR       16735       83                   -                  -                      -                   -
     score        DOUBLE       16735    16735  -4.249686183267011 3.8439383548575847  4.431604305046935e-18  0.9939159970554963
raw_effect        DOUBLE       16735    16735 -0.8847838037969697 0.9381368936575312 3.8478001451006324e-19 0.17237925367572882
 shrinkage        DOUBLE       16735    16735 0.02112351420126451  0.956441306205122     0.7241423001621768 0.14882595070187862
 n_permits       INTEGER       16735     1456                   5               3492      432.9869136540185   424.4388246754083
    months       INTEGER       16735       93                   4                107      47.82647146698536   29.59463601340808
properties       INTEGER       16735     1344                   5               2197      379.5423364206752   284.5962442048877
     years       INTEGER       16735        8                   1                  9     5.7234538392590375   2.656032463648686
 pin_share        DOUBLE       16735    10789                 0.0                1.0     0.5573162195042873  0.3005816557652796
    method       VARCHAR       16735        4                   -                  -                      -                   -
      draw       INTEGER       16735       50                   1                 50      25.06979384523454  14.658305853274934
      half       INTEGER       16735        2                   1                  2     1.4996713474753511  0.5000148314049313
