File: splits_through2022.parquet
Rows: 22658
Columns: 12
SHA-256 (saved bytes): 76da3a9dd80b61e68dd25ff93e95b5e4a37044af252e6c06ca53d2c98974fccb
Key: method, draw, half, alderman
Types: Stored Parquet schema.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

    column inferred_type non_missing distinct                  min                max                    mean                 sd
  alderman       VARCHAR       22658      113                    -                  -                       -                  -
     score        DOUBLE       22658    22658   -4.318492120272604  4.571351264009025   1.746820144226623e-18 0.9955100685563583
raw_effect        DOUBLE       22658    22658  -0.9161854748613802 0.7487276314045312 -2.5540813469232183e-19 0.1630255569182693
 shrinkage        DOUBLE       22658    22658 0.027406890704307414 0.9672719754711923      0.7059095453493841 0.1698386533793923
 n_permits       INTEGER       22658     2101                    4               6278       542.2587165680995  595.6920169828711
    months       INTEGER       22658      186                    4                203       66.71515579486274 49.393166011442986
properties       INTEGER       22658     1699                    4               3075      454.70504898931944 382.13663800939463
     years       INTEGER       22658       15                    1                 17       8.025465619207344  4.776675254605479
 pin_share        DOUBLE       22658    14029                  0.0                1.0      0.6914148556399744 0.3140793478190476
    method       VARCHAR       22658        4                    -                  -                       -                  -
      draw       INTEGER       22658       50                    1                 50      25.089946155883133 14.648783872632407
      half       INTEGER       22658        2                    1                  2      1.5000441345220232 0.5000110320478425
