File: residential_project_candidate_inventory.csv
Rows: 29186
Columns: 42
SHA-256 (saved bytes): 489c46f9fe7537a76afe7edf423de7b8bb00d5d91a8978dc37dd69d288d73dc5
Key: pin
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                                column inferred_type non_missing distinct                 min                max                 mean                  sd
                                   pin       VARCHAR       29186    29186                   -                  -                    -                   -
                              tax_year        BIGINT       29186       27                2000               2026   2020.8158706229015   4.958924957991491
                              card_num        BIGINT       29186       15                   1                 27   1.0696909477146577   0.455685670089114
                                 class       VARCHAR       29186       18                   -                  -                    -                   -
                            year_built        BIGINT       29186       28                1999               2026   2008.7140409785513   7.882065846037483
                         building_sqft        BIGINT       29185     4894                   0             643884   2916.4279253040945   5408.238445719075
                             land_sqft        BIGINT       28198     5272                   7          228167280   17316.316901907936  1656382.1186833105
                        num_apartments        BIGINT       28508        6                   0                  6    0.546302792198681  1.3482042212415104
                 single_v_multi_family       VARCHAR       29165        2                   -                  -                    -                   -
                     type_of_residence       VARCHAR       29184        5                   -                  -                    -                   -
                         tieback_group       VARCHAR        1959     1103                   -                  -                    -                   -
                    tieback_lineage_id       VARCHAR        2136     1146                   -                  -                    -                   -
         historical_tieback_membership       BOOLEAN       29186        2                   -                  -                    -                   -
             historical_tieback_groups       VARCHAR        2136     1250                   -                  -                    -                   -
                       history_reports        BIGINT       29186       77                   1                297    19.31145069553896   9.693763792946857
                      historical_cards        BIGINT       29186       36                   1                 60   1.2026313986157746   1.268044511148606
              maximum_concurrent_cards        BIGINT       29186       36                   1                 60   1.1691221818680189  1.2574017677035434
             years_with_multiple_cards        BIGINT       29186       29                   0                 28   0.2624546015212773   1.872989507479744
                   history_year_values        BIGINT       29186        7                   1                  7    1.667785924758446  0.8668578900590199
          history_building_area_values        BIGINT       29186       10                   1                 12   1.4802302473788802  0.7516093829085639
              history_land_area_values        BIGINT       29186        5                   0                  5   0.9778318371822107 0.19560506047465337
                   history_unit_values        BIGINT       29186        6                   0                  5   1.1532926745699994  0.4364797808306467
                          source_years       VARCHAR       29186     3700                   -                  -                    -                   -
                 source_building_areas       VARCHAR       29186    13635                   -                  -                    -                   -
                     source_land_areas       VARCHAR       28342     5422                   -                  -                    -                   -
                    source_unit_counts       VARCHAR       28815       51                   -                  -                    -                   -
                    pin_proration_rate        DOUBLE       29186       70                 0.0                1.0    0.963368738436237 0.14503986447102318
                   card_proration_rate        DOUBLE       28102       69                 0.0               0.98 0.030735534837378092 0.12356402422168158
                      pin_is_multicard       BOOLEAN       29186        2                   -                  -                    -                   -
                         pin_num_cards        BIGINT       29186       35                   1                 60   1.1532926745699994  1.2224860373414201
                      pin_is_multiland       BOOLEAN       29186        2                   -                  -                    -                   -
                     pin_num_landlines        BIGINT       29186        4                   1                  4    1.003871719317481 0.06688509876730667
explicit_multifamily_one_unit_conflict       BOOLEAN       29186        2                   -                  -                    -                   -
                  in_commercial_source       BOOLEAN       29186        2                   -                  -                    -                   -
                     coordinate_x_3435        DOUBLE       26411    26336  1117092.0532665455  1203937.152964387   1162487.0820514262  13320.157819502798
                     coordinate_y_3435        DOUBLE       26411    26336  1815984.7597150211 1949782.0850451984   1900339.9135684075  26357.017349413156
                     coordinate_source       VARCHAR       26411        3                   -                  -                    -                   -
                    dist_to_boundary_m        DOUBLE       26317    26245 0.31134218570016264  8521.104052695033    435.1350072918994   528.1792441042022
                         within_1500ft       BOOLEAN       29186        2                   -                  -                    -                   -
                       review_category       VARCHAR       29186        5                   -                  -                    -                   -
                     mechanical_status       VARCHAR       29186        3                   -                  -                    -                   -
                                row_id       VARCHAR       29186    29186                   -                  -                    -                   -
