File: preferred_project_year_centroids.gpkg
Rows: 13964
Columns: 10
SHA-256 (saved bytes): b5f3f48705187f6411f43f00fae6c5308b4a62a345e839da7df72d1468bf25ef
Key: source_family, project_id, target_year
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                    column inferred_type non_missing distinct                min               max               mean                sd
                       fid        BIGINT       13964    13964                  1             13964             6982.5 4031.203914465256
             source_family       VARCHAR       13964        2                  -                 -                  -                 -
                project_id       VARCHAR       13964    13964                  -                 -                  -                 -
               target_year        DOUBLE       13964       17             2006.0            2022.0  2012.514537381839 5.391325741159736
     project_polygon_valid        DOUBLE       13947        1                1.0               1.0                1.0               0.0
    project_land_area_sqft        DOUBLE       13947    11377 176.29144966672175 904026.4079986904 13639.361650897268 42294.98151428829
           location_source       VARCHAR       13964        8                  -                 -                  -                 -
   location_reference_year        DOUBLE       13964       20             2006.0            2025.0  2014.619378401604 6.615129379269884
location_reference_row_ids       VARCHAR        3470     3458                  -                 -                  -                 -
    location_reference_pin       VARCHAR        3463     3451                  -                 -                  -                 -
