File: project_permit_chain_summary.csv
Rows: 9815
Columns: 13
SHA-256 (saved bytes): 824775f28e13a98ca62d83cc8bc801a354d673543d96ea510230fc4b43d3d064
Key: project_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                    column inferred_type non_missing distinct min max                mean                 sd
             source_family       VARCHAR        9815        2   -   -                   -                  -
                project_id       VARCHAR        9815     9815   -   -                   -                  -
             permit_chains        BIGINT        9815       23   1  44  1.6937340804890473  3.070686903694462
  directly_matched_permits        BIGINT        9815       25   1  44  1.8148751910341314 3.2345733358481037
         all_chain_permits        BIGINT        9815       26   1  44  2.0293428425878757 3.6851525647450245
 earliest_application_date          DATE        9815     3738   -   -                   -                  -
       earliest_issue_date          DATE        9815     3740   -   -                   -                  -
         latest_issue_date          DATE        9815     3749   -   -                   -                  -
            permit_numbers       VARCHAR        9815     8511   -   -                   -                  -
permits_with_unit_mentions        BIGINT        9815       17   0  18  0.5009679062659195 1.4658583344592808
      distinct_unit_counts        BIGINT        9815        7   0   6 0.31451859398879267 0.6155118272561584
               unit_counts       VARCHAR        2523      240   -   -                   -                  -
   numbered_building_units        BIGINT           2        2   5  52                28.5  33.23401871576773
