File: residential_tieback_temporal_lineage_evidence.csv
Rows: 1030
Columns: 34
SHA-256 (saved bytes): 6a8f9c3cd1d02bbb735bfa850c27d1faea8016924a243b8bb63bcac2ff9070bb
Key: tieback_lineage_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                            column inferred_type non_missing distinct               min               max                 mean                  sd
                tieback_lineage_id       VARCHAR        1030     1030                 -                 -                    -                   -
                reported_tax_years        BIGINT        1030       28                 1                28    9.863106796116504     9.2181054181828
           reported_tieback_groups        BIGINT        1030        3                 1                 3   1.1135922330097088  0.3604738657774194
                complete_snapshots        BIGINT        1030       28                 0                27    7.490291262135922   8.514630575163407
              complete_member_sets        BIGINT        1030        4                 0                 3   0.6747572815533981 0.49687428170280246
 complete_construction_year_values        BIGINT        1030        5                 0                 4   0.8543689320388349  0.7662431794884444
     complete_building_area_values        BIGINT        1030        5                 0                 4   0.7747572815533981  0.6522322358824252
              complete_unit_values        BIGINT        1030        3                 0                 2   0.6747572815533981  0.4949145554749631
                     lineage_nodes        BIGINT        1030        8                 1                10   2.1650485436893203   0.675793991914037
                source_member_pins        BIGINT        1030        8                 1                10   2.1495145631067962  0.6765363376873573
                    key_only_nodes        BIGINT        1030        2                 0                 1 0.015533980582524271  0.1237236344312994
                  all_lineage_pins       VARCHAR        1030     1030                 -                 -                    -                   -
                 selected_tax_year        BIGINT         682       25              2002              2026   2020.7390029325513   4.772587922727862
           selected_tieback_groups       VARCHAR         682      682                 -                 -                    -                   -
           selected_component_pins       VARCHAR         682      682                 -                 -                    -                   -
          selected_component_count        BIGINT         682        7                 1                10    2.126099706744868  0.5242369816709384
        selected_construction_year        BIGINT         682       67              1878              2026   2005.2375366568915  23.591528851912273
           selected_dwelling_units        BIGINT         682        6                 1                 6   2.2067448680351904  1.9733350846349316
            selected_building_sqft        BIGINT         682      600                 1             55401    5695.170087976539   4729.638084937692
                selected_land_sqft        BIGINT         682      447               834           1150464    8427.816715542522   45312.87314581223
           selected_source_row_ids       VARCHAR         682      682                 -                 -                    -                   -
              selected_report_tier        BIGINT         682        3                 1                 3   1.2272727272727273   0.519477778088386
             candidate_member_pins        BIGINT        1030        8                 1                10     2.07378640776699  0.7070327221385477
       candidate_study_period_pins        BIGINT        1030        8                 0                10   0.9796116504854369  1.1362786193266017
      candidate_construction_years       VARCHAR        1030       58                 -                 -                    -                   -
              candidate_year_count        BIGINT        1030        3                 1                 3    1.050485436893204  0.2234432317718279
    candidate_in_period_year_count        BIGINT        1030        3                 0                 2   0.5029126213592233  0.5358764037111042
unique_candidate_construction_year        BIGINT         979       28              1999              2026   2010.3278855975486   8.516299104229905
                 candidate_classes       VARCHAR        1030       19                 -                 -                    -                   -
       candidate_review_categories       VARCHAR        1030        7                 -                 -                    -                   -
                 any_within_1500ft       BOOLEAN        1030        2                 -                 -                    -                   -
       minimum_boundary_distance_m        DOUBLE         753      753 13.12344036932762 8512.934950058308   506.09694300338083   751.5508372763394
                   temporal_status       VARCHAR        1030        2                 -                 -                    -                   -
                   temporal_reason       VARCHAR        1030        5                 -                 -                    -                   -
