File: residential_review_current_parcel_links.csv
Rows: 393
Columns: 7
SHA-256 (saved bytes): b421cd264178f55116b783b1b428cce49941fc08a4090e662ab94709bf21edc1
Key: project_id, pin
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                  column inferred_type non_missing distinct            min            max               mean                 sd
              project_id       VARCHAR         393       53              -              -                  -                  -
             target_year        BIGINT         393        8           2006           2022 2020.8447837150127  2.985309185870688
                     pin        BIGINT         393      393 13044110430000 20024041151003 15870230057223.443 1491871805971.4744
                   pin10        BIGINT         393       80     1304411043     2002404115 1587023005.6284988 149187180.59354687
                tax_year        BIGINT         393        1           2025           2025             2025.0                0.0
                   class        BIGINT         393        8            203            599 300.04071246819336  27.54955408175131
projects_per_current_pin        BIGINT         393        1              1              1                1.0                0.0
