ward,alderman,start_date,end_date
1,Jesse Granato,1998-01-01,2003-05-04
1,Manuel Flores,2003-05-05,2010-01-13
1,Proco Joe Moreno,2010-03-26,2019-05-19
1,Daniel La Spata,2019-05-20,2025-06-24
2,Madeline Haithcock,1998-01-01,2007-05-20
2,Robert Fioretti,2007-05-21,2015-05-17
2,Brian Hopkins,2015-05-18,2025-06-24
3,Dorothy Tillman,1998-01-01,2007-05-20
3,Pat Dowell,2007-05-21,2025-06-24
4,Toni Preckwinkle,1998-01-01,2010-12-05
4,Shirley Newsome,2011-01-13,2011-05-15
4,William D. Burns,2011-05-16,2016-02-01
4,Sophia King,2016-04-13,2023-05-14
4,Lamont Robinson,2023-05-15,2025-06-24
5,Barbara Holt,1998-01-01,1999-05-02
5,Leslie Hairston,1999-05-03,2023-05-14
5,Desmon Yancy,2023-05-15,2025-06-24
6,John O. Steele,1998-01-01,1998-02-04
6,Fredrenna Lyle,1998-02-05,2011-05-15
6,Roderick Sawyer,2011-05-16,2023-05-14
6,William Hall,2023-05-15,2025-06-24
7,William Beavers,1998-01-01,2006-12-03
7,Darcel Beavers,2006-12-04,2007-05-20
7,Sandi Jackson,2007-05-21,2013-01-14
7,Natashia Holmes,2013-02-13,2015-05-17
7,Gregory Mitchell,2015-05-18,2025-06-24
8,Lorraine Dixon,1998-01-01,2001-06-29
8,Todd Stroger,2001-09-05,2006-12-03
8,Michelle A. Harris,2006-12-04,2025-06-24
9,Robert Shaw,1998-01-01,1998-12-31
9,Melvin Powell Sr.,1999-01-01,1999-05-02
9,Anthony Beale,1999-05-03,2025-06-24
10,John J. Buchanan,1998-01-01,1999-05-02
10,John Pope,1999-05-03,2015-05-17
10,Susan Sadlowski Garza,2015-05-18,2023-05-14
10,Peter Chico,2023-05-15,2025-06-24
11,James Balcer,1998-01-01,2015-05-17
11,Patrick Daley Thompson,2015-05-18,2022-02-28
11,Nicole Lee,2022-03-28,2025-06-24
12,Ray Frias,1998-01-01,2003-05-04
12,George Cardenas,2003-05-05,2022-11-30
12,Anabel Abarca,2022-12-14,2023-05-14
12,Julia Ramirez,2023-05-15,2025-06-24
13,Frank Olivo,1998-01-01,2010-12-31
13,Marty Quinn,2011-01-01,2025-06-24
14,Ed Burke,1998-01-01,2023-05-14
14,Jeylu Gutierrez,2023-05-15,2025-06-24
15,Virgil E. Jones,1998-01-01,1999-05-02
15,Ted Thomas,1999-05-03,2006-12-31
15,Toni Foulkes,2007-01-01,2015-05-17
15,Raymond Lopez,2015-05-18,2025-06-24
16,Shirley Coleman,1998-01-01,2007-05-20
16,JoAnn Thompson,2007-05-21,2015-02-09
16,Toni Foulkes,2015-05-18,2019-05-19
16,Stephanie Coleman,2019-05-20,2025-06-24
17,Terry Peterson,1998-01-01,2000-07-31
17,Latasha Thomas,2000-08-01,2015-05-17
17,David Moore,2015-05-18,2025-06-24
18,Thomas Murphy,1998-01-01,2006-12-12
18,Lona Lane,2006-12-13,2015-05-17
18,Derrick Curtis,2015-05-18,2025-06-24
19,Virginia Rugai,1998-01-01,2011-05-15
19,Matthew O'Shea,2011-05-16,2025-06-24
20,Arenda Troutman,1998-01-01,2007-02-28
20,Willie Cochran,2007-03-01,2019-03-23
20,Jeanette Taylor,2019-05-20,2025-06-24
21,Leonard DeVille,1998-01-01,2003-05-04
21,Howard Brookins,2003-05-05,2023-05-14
21,Ronnie Mosley,2023-05-15,2025-06-24
22,Ricardo Munoz,1998-01-01,2019-05-19
22,Michael Rodriguez,2019-05-20,2025-06-24
23,Michael Zalewski,1998-01-01,2018-05-31
