alderman,strictness_index,winner_candidate,n_rezonings,imputed_zero_rezonings
Ameya Pawar,0.12119758123805524,eb_down_share_t0,109,0
Anabel Abarca,0.07149565250346637,eb_down_share_t0,4,0
Andre Vasquez,0.04871590313843886,eb_down_share_t0,46,0
Angela Clay,0.01747857110222276,eb_down_share_t0,12,0
Anthony Beale,0.49003648365125874,eb_down_share_t0,65,0
Anthony Napolitano,0.00725519862369948,eb_down_share_t0,20,0
Arenda Troutman,0.15951856442985446,eb_down_share_t0,0,1
Ariel Reboyras,0.05707130562291409,eb_down_share_t0,92,0
Barbara Holt,0.15951856442985446,eb_down_share_t0,0,1
Bennett Lawson,0.00795481545722012,eb_down_share_t0,19,0
Bernard Stone,0.2460568417908615,eb_down_share_t0,2,0
Bernie Hansen,0.08917262217705804,eb_down_share_t0,3,0
Bill Conway,0.1547468053426659,eb_down_share_t0,7,0
Billy Ocasio,0.03873898382285758,eb_down_share_t0,7,0
Brendan Reilly,0.4043939031653151,eb_down_share_t0,29,0
Brian Doherty,0.2460568417908615,eb_down_share_t0,2,0
Brian Hopkins,0.05707130562291409,eb_down_share_t0,92,0
Burton Natarus,0.1107713544531586,eb_down_share_t0,2,0
Byron Sigcho-Lopez,0.05707130562291409,eb_down_share_t0,92,0
Carlos Ramirez-Rosa,0.22177620926851316,eb_down_share_t0,66,0
Carrie Austin,0.0811621522565748,eb_down_share_t0,28,0
Charles Bernardini,0.13457546504844933,eb_down_share_t0,1,0
Chris Taliaferro,0.04369530754119598,eb_down_share_t0,51,0
Daniel La Spata,0.14276707142316705,eb_down_share_t0,78,0
Daniel Solis,0.11121178786282147,eb_down_share_t0,128,0
Darcel Beavers,0.15951856442985446,eb_down_share_t0,0,1
David Moore,0.15410768242216216,eb_down_share_t0,33,0
Deb Mell,0.19711701749316993,eb_down_share_t0,60,0
Deborah Graham,0.2785775466601804,eb_down_share_t0,11,0
Debra Silverstein,0.22395393878886585,eb_down_share_t0,34,0
Derrick Curtis,0.01353869132919711,eb_down_share_t0,14,0
Desmon Yancy,0.31818062633656263,eb_down_share_t0,3,0
Dick Mell,0.1684401653693039,eb_down_share_t0,6,0
Dorothy Tillman,0.15951856442985446,eb_down_share_t0,0,1
Ed Burke,0.04105146153253002,eb_down_share_t0,30,0
Ed Smith,0.1998916436106526,eb_down_share_t0,9,0
Emma Mitts,0.05228991332149942,eb_down_share_t0,43,0
Eugene Schulter,0.2460568417908615,eb_down_share_t0,2,0
Felix Cardona Jr.,0.00286875046265527,eb_down_share_t0,33,0
Frank Olivo,0.15951856442985446,eb_down_share_t0,0,1
Fredrenna Lyle,0.13457546504844933,eb_down_share_t0,1,0
George Cardenas,0.13151127231018547,eb_down_share_t0,85,0
Gilbert Villegas,0.07527360129836742,eb_down_share_t0,70,0
Gregory Mitchell,0.03233627674253385,eb_down_share_t0,8,0
Harry Osterman,0.20663077104522115,eb_down_share_t0,23,0
Helen Shiller,0.19992431920096437,eb_down_share_t0,4,0
Howard Brookins,0.09326409021368438,eb_down_share_t0,35,0
Isaac Carothers,0.15951856442985446,eb_down_share_t0,0,1
James Balcer,0.3966657439922615,eb_down_share_t0,60,0
James Cappleman,0.02904677393943587,eb_down_share_t0,41,0
Jason Ervin,0.33523057557977853,eb_down_share_t0,88,0
Jeanette Taylor,0.02330979268631245,eb_down_share_t0,10,0
Jesse Granato,0.3442282461906301,eb_down_share_t0,1,0
Jessie Fuentes,0.00418330513075495,eb_down_share_t0,27,0
Jeylu Gutierrez,0.03873898382285758,eb_down_share_t0,7,0
Jim Gardiner,0.11524094862334398,eb_down_share_t0,28,0
JoAnn Thompson,0.2365791282609982,eb_down_share_t0,19,0
Joe Moore,0.14632029142078268,eb_down_share_t0,35,0
John Arena,0.12962999390685323,eb_down_share_t0,40,0
John J. Buchanan,0.15951856442985446,eb_down_share_t0,0,1
John O. Steele,0.15951856442985446,eb_down_share_t0,0,1
John Pope,0.12114880419568448,eb_down_share_t0,10,0
John Rice,0.1107713544531586,eb_down_share_t0,2,0
Julia Ramirez,0.03873898382285758,eb_down_share_t0,7,0
Lamont Robinson,0.1311629448368581,eb_down_share_t0,9,0
Latasha Thomas,0.18584535714840553,eb_down_share_t0,21,0
Leni Manaa-Hoppenworth,0.02330979268631245,eb_down_share_t0,10,0
Leonard DeVille,0.15951856442985446,eb_down_share_t0,0,1
Leslie Hairston,0.36092434863381934,eb_down_share_t0,31,0
Lona Lane,0.02009462863770998,eb_down_share_t0,11,0
Lorraine Dixon,0.15951856442985446,eb_down_share_t0,0,1
Madeline Haithcock,0.2460568417908615,eb_down_share_t0,2,0
Manuel Flores,0.18837760665968892,eb_down_share_t0,10,0
Margaret Laurino,0.1358752994465733,eb_down_share_t0,38,0
Maria Hadden,0.00664281457135999,eb_down_share_t0,21,0
