File: density_boundary_characteristics.csv
Rows: 11794
Columns: 8
SHA-256 (saved bytes): 132b064ae82b31f11ee8c3825a8938ce034b11b95af9c9e8c67e4a2a8e17bab9
Key: building_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                  column inferred_type non_missing distinct                  min                max                mean                  sd
             building_id       VARCHAR       11794    11794                    -                  -                   -                   -
       straight_boundary       BOOLEAN       11794        2                    -                  -                   -                   -
     simple_overlap_keep       BOOLEAN       11794        2                    -                  -                   -                   -
        share_based_keep       BOOLEAN       11794        2                    -                  -                   -                   -
   distance_to_cbd_miles        DOUBLE       11794    11788   0.4948707653017476 15.386199412755913   4.688369983055744  2.2987754645447005
distance_to_school_miles        DOUBLE       11794    11788 0.014356917632235877 0.7597570027923837 0.22415483679460027 0.11749311844947874
  distance_to_park_miles        DOUBLE       11794    11788 0.001594181323393159 0.8769263815897217 0.16823672822074173 0.11347558305071663
  distance_to_lake_miles        DOUBLE       11794    11788 0.020422541972422395  10.56219713879338   2.910995988988464  1.6999015644315862
