target_year,reference_x_3435,reference_y_3435
2011,1167000.4503450566,1885728.159196554
2011,1167022.6085736484,1885742.602161982
2011,1167044.7666153994,1885757.0452748707
2011,1167089.0826964795,1885785.9316142784
2011,1167111.2410933482,1885800.3742722285
2012,1169202.0575588185,1913895.2397299395
2012,1169202.8652471518,1913870.2396629876
2014,1160584.167490262,1918971.9803184683
2014,1160585.7485552982,1918907.6485685185
2014,1160585.7902922088,1918950.1143381132
2014,1160586.2901527807,1918929.670002652
2014,1160586.7915714814,1918866.847045091
2014,1160587.8405850525,1918823.1265251643
2014,1160588.453872019,1918845.0098490668
2014,1160671.8242022381,1918965.720919008
2014,1160672.3339242784,1918945.0525805051
2014,1160672.852567335,1918924.665283868
2014,1160673.3360467171,1918904.2277325504
2014,1160673.8402999549,1918883.7825437144
2014,1160674.2435552715,1918863.268952413
2014,1160674.8273541527,1918842.8301493784
2014,1160675.4384527982,1918822.26921082
2017,1170291.7349267914,1880751.2921443223
2017,1170312.2263977998,1880751.7904889267
2017,1170331.1928383715,1880752.268975536
2017,1170350.6709403633,1880752.7873085728
2017,1170370.1301894763,1880753.264284705
2017,1170389.0490619529,1880753.7438857125
2017,1170410.0872488308,1880754.2739479789
2017,1170870.2800413182,1903345.7734977135
2018,1157450.0081906463,1906158.7410602672
2020,1182224.4848914444,1875883.1239277504
2022,1179869.2081858194,1902065.9008542253
2009,1185029.6569777718,1875894.8327057045
2013,1133252.5578342162,1860940.602186854
2013,1133277.791684853,1860941.5034427352
2013,1133299.2778739922,1860942.270424381
2013,1133320.7641819145,1860943.037950083
2013,1133345.9981853983,1860943.939050211
2016,1173253.0043983783,1881613.014394004
2016,1173296.0921394508,1881614.131364717
2016,1173314.2872497668,1881614.60353372
2016,1173332.482499777,1881615.0756587223
2016,1173351.877476744,1881615.57895436
2017,1173277.896994904,1881613.659707562
2022,1178872.5098790166,1884383.6323589056
2007,1168236.4272548105,1918843.3991917544
2010,1157309.7039413515,1896142.748917875
2010,1157334.7189747924,1896143.3031701937
2010,1157359.734118207,1896143.8587643008
2010,1166707.2402500834,1900337.7553088188
2010,1166707.3329648557,1900312.822371488
2011,1166706.522397422,1900362.7447329864
2013,1170546.8549536802,1880692.6779303025
2013,1170547.378676816,1880672.2248972084
2013,1170547.925240616,1880650.8763343168
2013,1170614.186485018,1880763.5284083108
2013,1170614.7100013543,1880742.800259726
2013,1170615.248816484,1880721.4720763357
2013,1170615.8135245936,1880698.0575362265
2013,1170616.370827458,1880677.058762588
2013,1170616.926155093,1880656.1572821485
2014,1170469.9569256688,1880670.527445184
2014,1170470.5344434597,1880648.8132355749
2014,1170479.0896710483,1880813.6898495855
2014,1170480.4677176808,1880747.5034820444
2014,1170480.779758802,1880700.3374933037
2014,1170502.1905000005,1880814.2930000012
2014,1170521.1090640903,1880814.7874474127
2014,1170542.6017500004,1880815.349125001
2014,1170545.0793317407,1880762.0249328068
2014,1170545.604134038,1880741.5319000168
2014,1170546.1327803447,1880720.8785210105
2014,1170566.2185611122,1880815.9662929757
2014,1170587.3112499996,1880816.5175000003
2014,1170606.2598059042,1880817.0126332056
2014,1170626.1232679596,1880817.531752985
