File: historical_parcels_additional_2018.gpkg
Rows: 5
Columns: 7
SHA-256 (saved bytes): b4a090f7b9d9eaed383c58be383a1ff1bc913cb5def60132e02859d7a5c3bb32
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct    min     max     mean                 sd
           fid        BIGINT           5        5      1       5      3.0 1.5811388300841898
   target_year        BIGINT           5        1   2018    2018   2018.0                0.0
      layer_id        DOUBLE           5        1   20.0    20.0     20.0                0.0
     object_id        BIGINT           5        5 648844 1411435 805957.8  338525.5826148151
         pin14       VARCHAR           5        5      -       -        -                  -
         pin10       VARCHAR           5        5      -       -        -                  -
geometry_valid        BIGINT           5        1      1       1      1.0                0.0
