File: historical_project_parcel_source.gpkg
Rows: 8473
Columns: 7
SHA-256 (saved bytes): e14722965ecd476877cfd436dabb9de4dd1300450e3f2b7f386dbb93aa13f07d
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct  min     max               mean                 sd
           fid        BIGINT        8473     8473    1    8473             4237.0  2446.088748730648
   target_year        BIGINT        8473       17 2006    2022 2013.3756638734806 5.3091541498502615
      layer_id        DOUBLE        8473       17  6.0  2022.0  146.2609465360557  499.0546239751265
     object_id        BIGINT        8473     8300   61 1847101  699418.0210079075 483134.28004140884
         pin14       VARCHAR        8473     7931    -       -                  -                  -
         pin10       VARCHAR        8473     7931    -       -                  -                  -
geometry_valid        BIGINT        8473        1    1       1                1.0                0.0
