File: preferred_parcels_additional.gpkg
Rows: 6
Columns: 7
SHA-256 (saved bytes): 9a646d723255b3a54270b6057ee0239f63bc0a7c0ede5cd69e2a8600f51932da
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct    min     max               mean                 sd
           fid        BIGINT           6        6      1       6                3.5 1.8708286933869707
   target_year        BIGINT           6        3   2014    2022             2020.5 3.2093613071762372
      layer_id        DOUBLE           6        3   15.0  2022.0 1354.3333333333333 1034.3478460685587
     object_id        BIGINT           6        6 442566 1044723           819404.0 219874.50295566334
         pin14       VARCHAR           6        6      -       -                  -                  -
         pin10       VARCHAR           6        6      -       -                  -                  -
geometry_valid        BIGINT           6        1      1       1                1.0                0.0
