source_date,file_name,file_size_bytes,source_modified_utc,md5
2014-01-10,2014-01-10--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_4_0.snappy.parquet,36501,2026-05-17T21:40:41.070000+00:00,783cb73811c4b8699257a53f2b47ed30
2014-01-11,2014-01-11--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_2_0.snappy.parquet,685375,2026-05-17T21:40:52.224000+00:00,62a0ede0bc3e0cfbae4dd4cb99593346
2014-01-17,2014-01-17--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_2_0.snappy.parquet,89351,2026-05-17T21:40:33.269000+00:00,50dde9b0c5aec5f760697d9fe7f20ba8
2014-01-18,2014-01-18--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_0_0.snappy.parquet,681776,2026-05-17T21:40:34.125000+00:00,c913294d5916482ef6f1d88a6e1df4d4
2014-01-24,2014-01-24--data_01c46fd3-0308-fb38-0042-fa07089c0a96_307_4_0.snappy.parquet,62410,2026-05-17T21:40:24.559000+00:00,eda6887098d7d6f7e418b11b1ac93d39
2014-01-25,2014-01-25--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,245878,2026-05-17T21:40:29.691000+00:00,f6e3123b45ec8724f242621461f69c32
2014-01-26,2014-01-26--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_4_0.snappy.parquet,41204,2026-05-17T21:40:32.658000+00:00,8f3a2f4bc019ce5a110e6f2912b1b8b1
2014-01-27,2014-01-27--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_2_0.snappy.parquet,28505,2026-05-17T21:40:23.938000+00:00,d700c113412eae5e39955c851565f233
2014-01-28,2014-01-28--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_4_0.snappy.parquet,518582,2026-05-17T21:40:45.722000+00:00,cd2b50704265485b693dbf4510830059
2014-02-01,2014-02-01--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_4_0.snappy.parquet,20638,2026-05-17T21:40:32.069000+00:00,9f380e8a732233ba6dad7a8c5b20168f
2014-02-02,2014-02-02--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_0_0.snappy.parquet,43277,2026-05-17T21:40:35.621000+00:00,31f1fe51d965c03f69eec45d94a67724
2014-02-03,2014-02-03--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_4_0.snappy.parquet,783946,2026-05-17T21:40:26.498000+00:00,6dea00ff4036fb876542edfaaea87fc5
2014-02-07,2014-02-07--data_01c46fd3-0308-fb38-0042-fa07089c0a96_307_4_0.snappy.parquet,43624,2026-05-17T21:41:04.901000+00:00,d341be2fd0f0bfacf9f70f5ce2b837c4
2014-02-08,2014-02-08--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_4_0.snappy.parquet,120169,2026-05-17T21:40:30.277000+00:00,f5c04bd2da5a19338cba5f19e76699f0
2014-02-09,2014-02-09--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_2_0.snappy.parquet,55894,2026-05-17T21:40:47.783000+00:00,f960411a21ec8c590f8cdb242092efc1
2014-02-10,2014-02-10--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_6_0.snappy.parquet,350768,2026-05-17T21:40:43.875000+00:00,e386a588ff161016a0a36d9880a538fa
2014-02-11,2014-02-11--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_2_0.snappy.parquet,276890,2026-05-17T21:41:03.695000+00:00,d3cb0072cb0b5340bddb12d1ae8bed52
2014-02-14,2014-02-14--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_6_0.snappy.parquet,85568,2026-05-17T21:41:00.888000+00:00,769d52c9354450ec0df89627d6a80b52
2014-02-15,2014-02-15--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_4_0.snappy.parquet,120995,2026-05-17T21:40:47.314000+00:00,0a4330bc5f0576513aa1b396e01f5496
2014-02-16,2014-02-16--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_6_0.snappy.parquet,66519,2026-05-17T21:40:49.586000+00:00,d733dc284fc2c4a20ac41861d03657e5
2014-02-17,2014-02-17--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,582370,2026-05-17T21:40:28.975000+00:00,dce67cb1dab1be0cd63fba91a8a4aea1
2014-02-22,2014-02-22--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_2_0.snappy.parquet,26416,2026-05-17T21:40:36.154000+00:00,42808ddcac51e29989cdb9ccc610b662
2014-02-23,2014-02-23--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_0_0.snappy.parquet,772688,2026-05-17T21:40:24.193000+00:00,26fe306048d170968c1ca7393892d61e
2014-02-28,2014-02-28--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_0_0.snappy.parquet,55087,2026-05-17T21:40:29.158000+00:00,ccbced582ad1934d49f6610f5f63474e
2014-03-01,2014-03-01--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_0_0.snappy.parquet,136212,2026-05-17T21:40:51.490000+00:00,eab878cc5dfba25e486b834cfd54cef4
2014-03-02,2014-03-02--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_2_0.snappy.parquet,44878,2026-05-17T21:40:38.727000+00:00,bf6a9461015da5ac28cba0c670c924a2
2014-03-03,2014-03-03--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_4_0.snappy.parquet,583812,2026-05-17T21:40:29.527000+00:00,e5f635ae3bc923716dbacba425eb52ef
2014-03-08,2014-03-08--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,28060,2026-05-17T21:40:33.414000+00:00,aefdbacdf2603335ca2dcd61e1ed589d
2014-03-09,2014-03-09--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_6_0.snappy.parquet,788038,2026-05-17T21:40:36.988000+00:00,66d7db7441b771896783b3aa3c8b33dc
2014-03-14,2014-03-14--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_0_0.snappy.parquet,50321,2026-05-17T21:40:23.921000+00:00,8025aada2aa9b281b71d084d7fe4213a
2014-03-15,2014-03-15--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,168675,2026-05-17T21:40:40.104000+00:00,745c327c460c723e12b039eae4f5697f
2014-03-16,2014-03-16--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_6_0.snappy.parquet,615765,2026-05-17T21:40:59.926000+00:00,9f60e8e31d0f8e6ff7191c0c06a5496b
2014-03-24,2014-03-24--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_2_0.snappy.parquet,371825,2026-05-17T21:40:39.824000+00:00,f4eb1745eb436d5560f8f516aef8ba2f
2014-03-25,2014-03-25--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,482376,2026-05-17T21:40:28.958000+00:00,d2a43101e9f3a0a3530ad90e733badf3
2014-03-28,2014-03-28--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_0_0.snappy.parquet,428246,2026-05-17T21:40:49.946000+00:00,3fe71258298a2bc32511a44147ce5179
2014-03-29,2014-03-29--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,376020,2026-05-17T21:40:30.597000+00:00,0eda7d0d48943c8696d3e43339452914
2014-04-04,2014-04-04--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_4_0.snappy.parquet,371292,2026-05-17T21:40:30.240000+00:00,ffa13a60f663d10ed6ad54a480d86f6f
2014-04-05,2014-04-05--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_0_0.snappy.parquet,523011,2026-05-17T21:40:33.562000+00:00,76e4870a7ec9c680c5dd609175385945
2014-04-11,2014-04-11--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_2_0.snappy.parquet,273491,2026-05-17T21:40:46.037000+00:00,2e05e21ba8a1c8f5b458ac03f1f061a6
2014-04-12,2014-04-12--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_0_0.snappy.parquet,607015,2026-05-17T21:40:39.709000+00:00,a50421c71660949cc14607bc4dda8703
2014-04-18,2014-04-18--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_2_0.snappy.parquet,373366,2026-05-17T21:41:00.642000+00:00,dfb96b44e71f66daf6547d6174bd5b28
2014-04-19,2014-04-19--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_0_0.snappy.parquet,798024,2026-05-17T21:41:07.151000+00:00,3e85b079008fc80bb64cd9c34df6e5c7
2014-04-25,2014-04-25--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_0_0.snappy.parquet,163564,2026-05-17T21:40:38.783000+00:00,598b265275df2aab0e68bdca42443ebe
2014-04-26,2014-04-26--data_01c46fd3-0308-fb38-0042-fa07089c0a96_307_0_0.snappy.parquet,1124024,2026-05-17T21:40:50.046000+00:00,7de0ff9b6ca7ea415c82273e41f17987
2014-05-02,2014-05-02--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_0_0.snappy.parquet,182215,2026-05-17T21:41:05.231000+00:00,e3d3bbc1736449e3ea4e89c1e5cfcf84
2014-05-03,2014-05-03--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_4_0.snappy.parquet,1039606,2026-05-17T21:40:53.807000+00:00,9d0bbcbe45f85e3bf9e63e6ff242bc1c
2014-05-10,2014-05-10--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_0_0.snappy.parquet,372043,2026-05-17T21:40:33.750000+00:00,2e78186667a037cbc141bbba001bf5d8
2014-05-11,2014-05-11--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_4_0.snappy.parquet,896772,2026-05-17T21:40:44.685000+00:00,2fef516408b39a0148511cd648bf77c1
2014-05-17,2014-05-17--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_6_0.snappy.parquet,209543,2026-05-17T21:40:49.429000+00:00,7e77a18793ce3833b6e9252d7665b972
2014-05-18,2014-05-18--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_4_0.snappy.parquet,146577,2026-05-17T21:40:33.271000+00:00,1868cad9647a4dc7c8d62687092f876a
2014-05-23,2014-05-23--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_6_0.snappy.parquet,1048476,2026-05-17T21:40:41.199000+00:00,4c67f69c171692d98cd3ab356868cd6f
2014-05-24,2014-05-24--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_4_0.snappy.parquet,1055660,2026-05-17T21:40:46.928000+00:00,23c1505bfb0ff88c3028e6a02e28a5f1
2014-05-30,2014-05-30--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_4_0.snappy.parquet,178570,2026-05-17T21:40:29.589000+00:00,0666f40c94c9fdd180a53e5d9f5ea691
2014-05-31,2014-05-31--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_0_0.snappy.parquet,956312,2026-05-17T21:40:40.299000+00:00,8835f9ac0db93c57c4a0995e665c299f
2014-06-06,2014-06-06--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_0_0.snappy.parquet,127545,2026-05-17T21:40:48.583000+00:00,9eac36d56c2d08090bb24410ab969bd5
2014-06-07,2014-06-07--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_0_0.snappy.parquet,1027823,2026-05-17T21:40:39.945000+00:00,f0c9dba9bc7be791106f05192eb14039
2014-06-13,2014-06-13--data_01c46fd3-0308-fb38-0042-fa07089c0a96_107_2_0.snappy.parquet,144984,2026-05-17T21:41:06.855000+00:00,58af0cf62542bbfb0426c14c26ef6a64
2014-06-14,2014-06-14--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_6_0.snappy.parquet,1038323,2026-05-17T21:40:52.002000+00:00,160ce5703880d790503bd1aa245d6d4d
2014-06-20,2014-06-20--data_01c46fd3-0308-fb38-0042-fa07089c0a96_007_0_0.snappy.parquet,174357,2026-05-17T21:40:48.310000+00:00,37fb3f6dc3c75f8d1c1a6df52998f688
2014-06-21,2014-06-21--data_01c46fd3-0308-fb38-0042-fa07089c0a96_207_0_0.snappy.parquet,1016441,2026-05-17T21:40:46.401000+00:00,f8aad5400367df396f591ee5c93f22a9
2014-06-27,2014-06-27--data_01c46fd3-0308-fb38-0042-fa07089c0a96_607_4_0.snappy.parquet,196792,2026-05-17T21:40:27.224000+00:00,f68ed13a9fc2d503c8dfb67d262893ef
2014-06-28,2014-06-28--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_6_0.snappy.parquet,1029822,2026-05-17T21:40:52.265000+00:00,7f61a4f20a8629132d9929d16845e776
2014-07-04,2014-07-04--data_01c46fd3-0308-fb38-0042-fa07089c0a96_707_0_0.snappy.parquet,176887,2026-05-17T21:40:26.806000+00:00,a720daeb5a14249487ff5bc7e9e21ddf
2014-07-05,2014-07-05--data_01c46fd3-0308-fb38-0042-fa07089c0a96_407_4_0.snappy.parquet,1022272,2026-05-17T21:40:24.322000+00:00,62008c4d7736d484dadeb61b900eee29
2014-07-11,2014-07-11--data_01c46fd3-0308-fb38-0042-fa07089c0a96_507_4_0.snappy.parquet,185801,2026-05-17T21:40:36.086000+00:00,016e31a96393cdde3195bc62aee89606
2014-07-12,2014-07-12--data_01c46fd3-0308-fb38-0042-fa07089c0a96_307_6_0.snappy.parquet,990525,2026-05-17T21:40:58.693000+00:00,23adb9c2db4c2e75294940c9f502d994
