File: commercial_production_family_members.csv
Rows: 1215
Columns: 9
SHA-256 (saved bytes): 24785f4f8aa63a1312d5b159e077d9f04dbcdd2549b13db39bc380b7574c89f3
Key: not declared in this report
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

              column inferred_type non_missing distinct                min               max               mean                 sd
              keypin       VARCHAR        1215     1215                  -                 -                  -                  -
production_yearbuilt        BIGINT        1215       27               1999              2025 2012.8962962962962  6.913738521268509
    production_units        BIGINT        1215      258                  1              1732  75.10699588477367 138.81386233984676
   production_bldgsf        BIGINT        1064      955                456           1380640  94786.96898496241 169071.81070357386
   production_landsf        BIGINT        1214     1072                  0           1540260 29119.027182866557  73436.40750333558
  production_address       VARCHAR        1213     1198                  -                 -                  -                  -
  dist_to_boundary_m        DOUBLE        1197     1194 3.6231312740335855 4220.098270641938  337.7633752625457  357.5383347328983
       within_1500ft       BOOLEAN        1215        2                  -                 -                  -                  -
   project_family_id       VARCHAR        1215     1128                  -                 -                  -                  -
