File: geocoded_residential_data.gpkg
Rows: 27553
Columns: 11
SHA-256 (saved bytes): c670e7941d2b4dbcca79c24cc81951190ab4071355f1bc23cb558b3ce6f9f2c3
Key: not declared in this report
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

           column inferred_type non_missing distinct    min       max               mean                 sd
              fid        BIGINT       27553    27553      1     27553            13777.0  7954.010319748565
              pin       VARCHAR       27553    27553      -         -                  -                  -
            pin10       VARCHAR       27553    27550      -         -                  -                  -
        yearbuilt        DOUBLE       27553       28 1999.0    2026.0 2008.9593147751607  7.838072008939561
        arealotsf        DOUBLE       27411     5679    0.0  816149.0  4279.074568603845  12925.44026061832
     areabuilding        DOUBLE       27408     5450    0.0 1380640.0  6324.209172504378 37758.326375371755
       unitscount        DOUBLE       27553      257    1.0    1679.0  4.501215838565673 31.264837481807593
     storiescount        DOUBLE       26379        4    1.0       3.0 2.3136585920618673 0.5502392592749974
    bedroomscount        DOUBLE       27448      295    0.0    4428.0  8.547398717575051 48.408671840812836
      residential        BIGINT       27553        1      1         1                1.0                0.0
coordinate_source       VARCHAR       27553        3      -         -                  -                  -
