File: preferred_commercial_project_ledger.csv
Rows: 815
Columns: 32
SHA-256 (saved bytes): c94c149efc0437487ba3f0774f2e69ceb9ce780e6afd99e32d7f15d9e1cdc242
Key: project_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                   column inferred_type non_missing distinct                min                max               mean                 sd
               project_id       VARCHAR         815      815                  -                  -                  -                  -
       source_project_ids       VARCHAR         815      768                  -                  -                  -                  -
           source_row_ids       VARCHAR         815      815                  -                  -                  -                  -
selected_source_addresses       VARCHAR         815      798                  -                  -                  -                  -
           component_pins       VARCHAR         815      815                  -                  -                  -                  -
          component_count        BIGINT         815       15                  1                 16 2.2098159509202455 2.0235473366289645
        construction_year        BIGINT         815       17               2006               2022  2013.639263803681  5.204178008564033
           dwelling_units        BIGINT         813      213                  1                848  77.25584255842558 126.79302587204072
            building_sqft        BIGINT         805      739               1144            1284706 101224.99254658385  171794.2800126424
                land_sqft        DOUBLE         810      730             1919.0          1540260.0 29611.306666666664  76277.19145612008
                allow_far       BOOLEAN         815        2                  -                  -                  -                  -
              allow_dupac       BOOLEAN         815        2                  -                  -                  -                  -
        membership_source       VARCHAR         815       25                  -                  -                  -                  -
              year_source       VARCHAR         815      686                  -                  -                  -                  -
             units_source       VARCHAR         815      641                  -                  -                  -                  -
          building_source       VARCHAR         806      646                  -                  -                  -                  -
              land_source       VARCHAR         815      689                  -                  -                  -                  -
          decision_source       VARCHAR         815        6                  -                  -                  -                  -
          decision_action       VARCHAR         815       19                  -                  -                  -                  -
              decision_id       VARCHAR         815      773                  -                  -                  -                  -
               confidence       VARCHAR         815        4                  -                  -                  -                  -
             evidence_ids       VARCHAR         253      123                  -                  -                  -                  -
            evidence_urls       VARCHAR          49       49                  -                  -                  -                  -
          decision_reason       VARCHAR         815      143                  -                  -                  -                  -
        unresolved_caveat       VARCHAR          74       41                  -                  -                  -                  -
      land_source_row_ids       VARCHAR          46       46                  -                  -                  -                  -
  project_geometry_source       VARCHAR         784        4                  -                  -                  -                  -
project_geometry_evidence       VARCHAR         784      784                  -                  -                  -                  -
project_polygon_area_sqft        DOUBLE         780      777 2249.8159374018433  417736.2262001708  23097.86653475514  34830.25193486972
                   x_3435        DOUBLE         784      781 1124181.9019028947 1199504.8726696013  1166492.039734173 12436.115583112705
                   y_3435        DOUBLE         784      781 1824809.4202887826 1947343.8882133919  1902607.106446909 21490.780233541773
        location_resolved       BOOLEAN         815        2                  -                  -                  -                  -
