File: preferred_historical_parcels.gpkg
Rows: 11829
Columns: 7
SHA-256 (saved bytes): 33a889c9824f2aa5e3c3d5b1eb0c94e4344e802bbb297b2ff8b57814b11fccf3
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct  min     max               mean                 sd
           fid        BIGINT       11829    11829    1   11829             5915.0 3414.8825016389656
   target_year        BIGINT       11829       17 2006    2022 2013.2267309155466  5.429287707005128
      layer_id        DOUBLE       11829       17  6.0  2022.0  151.5396060529208 508.52617321496217
     object_id        BIGINT       11829    11773   44 1849492   692823.499196889 486168.56527624256
         pin14       VARCHAR       11829    11771    -       -                  -                  -
         pin10       VARCHAR       11829    11771    -       -                  -                  -
geometry_valid        BIGINT       11829        1    1       1                1.0                0.0
