File: preferred_historical_predecessor_resolution.csv
Rows: 4009
Columns: 34
SHA-256 (saved bytes): 52c748bffb6b5b9497235bc536a2e51aaf4e329f7556a20308faba3e8bbdf9af
Key: not declared in this report
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                               column inferred_type non_missing distinct                min                max                   mean                     sd
                           request_id       VARCHAR        4009     3895                  -                  -                      -                      -
                        source_family       VARCHAR        4009        2                  -                  -                      -                      -
                           project_id       VARCHAR        4009     3770                  -                  -                      -                      -
                         project_kind       VARCHAR        4009        6                  -                  -                      -                      -
                     candidate_status       VARCHAR        4009        8                  -                  -                      -                      -
                        component_pin       VARCHAR        4009     3893                  -                  -                      -                      -
                                pin10       VARCHAR        4009     3893                  -                  -                      -                      -
                          target_year        BIGINT        4009       17               2006               2022     2011.1277126465452      4.927432758959001
                      coverage_status       VARCHAR        4009        1                  -                  -                      -                      -
                     reference_status       VARCHAR        4009        2                  -                  -                      -                      -
                     reference_source       VARCHAR        3996        5                  -                  -                      -                      -
                     reference_x_3435        DOUBLE        3996     3796 1119499.7135786538 1203743.2364409526     1164267.6635483163     13887.733506772345
                     reference_y_3435        DOUBLE        3996     3797  1823634.806017771  1949720.200967388     1896481.9722093514     23302.764893524818
                     selected_address       VARCHAR         193      186                  -                  -                      -                      -
                selected_address_year        BIGINT         193       15               2007               2025     2013.7253886010362      5.765579254946724
                      matched_address       VARCHAR         193      147                  -                  -                      -                      -
                        tiger_line_id        BIGINT         193       74          111755466          657179306      340963639.0103627     253918864.21416086
              chicago_matched_address       VARCHAR         117      114                  -                  -                      -                      -
                        chicago_score        BIGINT         117        1                100                100                  100.0                    0.0
                      chicago_locator       VARCHAR         117        1                  -                  -                      -                      -
                           permit_ids        BIGINT           8        8            2024046            2749118              2551423.5     255895.52912523833
               permit_point_spread_ft        BIGINT           8        1                  0                  0                    0.0                    0.0
                            object_id        BIGINT        3945     1650               2104            2025902      678341.3624841572      535609.4881561453
                    predecessor_pin14       VARCHAR        3945     1555                  -                  -                      -                      -
                    predecessor_pin10       VARCHAR        3945     1555                  -                  -                      -                      -
            predecessor_polygon_count        BIGINT        4009        6                  0                 34     1.5762035420304314      4.268583002914656
                   predecessor_status       VARCHAR        4009        5                  -                  -                      -                      -
                 first_attempt_status       VARCHAR        4009        4                  -                  -                      -                      -
               first_reference_source       VARCHAR        3984        4                  -                  -                      -                      -
               first_reference_x_3435        DOUBLE        3984     3778 1119499.7135786538 1203743.2364409526     1164268.9006713096      13875.30255388904
               first_reference_y_3435        DOUBLE        3984     3778  1823634.806017771  1949720.200967388     1896476.5200232025      23327.05181997692
              history_coordinate_year        BIGINT          43        8               2007               2023     2013.8372093023256      5.735977653863832
            history_coordinate_row_id        BIGINT          43       41 133332700600002008 202612204700002007 1.7413070300000202e+17 2.1011102376405184e+16
all_predecessor_geometries_equivalent       BOOLEAN        3945        2                  -                  -                      -                      -
