File: preferred_project_geography_requests.csv
Rows: 15691
Columns: 7
SHA-256 (saved bytes): fd253f2aa7c282fb0c48a27dbf1f8e5347c0f1169511d419ab376cdeb04027d0
Key: not declared in this report
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

          column inferred_type non_missing distinct  min  max               mean                sd
   source_family       VARCHAR       15691        2    -    -                  -                 -
      project_id       VARCHAR       15691    14017    -    -                  -                 -
    project_kind       VARCHAR       15691        7    -    -                  -                 -
candidate_status       VARCHAR       15691        7    -    -                  -                 -
     target_year        BIGINT       15691       17 2006 2022 2012.6749729144096 5.397166370897224
   component_pin       VARCHAR       15691    15646    -    -                  -                 -
           pin10       VARCHAR       15691    15638    -    -                  -                 -
