File: residential_fractional_base_groups.csv
Rows: 11
Columns: 10
SHA-256 (saved bytes): 6f59540304fb94bcdf2b69ca53e058992ad20b4c32050f110fe57bdd8f2b45bf
Key: base_pin
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                       column inferred_type non_missing distinct        min        max               mean                  sd
                     base_pin        BIGINT          11       11 1418304027 1732116023  1532984881.090909  145566034.23682904
                  member_pins        BIGINT          11        4          1          4 1.9090909090909092   1.044465935734187
               component_pins       VARCHAR          11       11          -          -                  -                   -
             one_card_per_pin       BOOLEAN          11        2          -          -                  -                   -
complete_fractional_proration       BOOLEAN          11        2          -          -                  -                   -
            pin_proration_sum        DOUBLE          11        5      0.245        1.0 0.8340818181818183 0.29019092617854825
     construction_year_values        BIGINT          11        2          1          2 1.0909090909090908 0.30151134457776363
            construction_year        BIGINT          10        7       2001       2026             2012.5   8.592632503100111
     link_fractional_siblings       BOOLEAN          11        2          -          -                  -                   -
               linkage_reason       VARCHAR          11        3          -          -                  -                   -
