File: residential_tieback_members_full.csv
Rows: 2373
Columns: 23
SHA-256 (saved bytes): 5fd554762dbec2071546c1d0e5bb9a1d603ac5ec54924ac902ea81387f6eae60
Key: tieback_group, pin
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                           column inferred_type non_missing distinct               min               max               mean                  sd
                    tieback_group       VARCHAR        2373     1271                 -                 -                  -                   -
                              pin       VARCHAR        2373     2208                 -                 -                  -                   -
                         card_num        BIGINT        2373        4                 1                 4 1.0598398651495997  0.2657379707876973
                         tax_year        BIGINT        2373       28              1999              2026 2017.0488832701221   7.974514885853568
                            class        BIGINT        2373       16               202               297  238.8630425621576  38.974634424365604
                       year_built        BIGINT        2373      106              1878              2026 2000.3168984407923  29.727172093838913
                    building_sqft        BIGINT        2351      933                 0             55401  5417.243300723097    5553.36922761546
                        land_sqft        BIGINT        2054      870                 7            415550   4723.41723466407  15707.664963162057
                   num_apartments        BIGINT        2235        6                 0                 6 1.5069351230425057  2.3670222469662843
               pin_proration_rate        DOUBLE        2373       72               0.0               1.0   0.45622393594606 0.19858864586674863
              card_proration_rate        DOUBLE        2327       70               0.0              0.98 0.4468325741297808  0.1953646083157839
                 pin_is_multicard       BOOLEAN        2373        2                 -                 -                  -                   -
                 pin_is_multiland       BOOLEAN        2373        2                 -                 -                  -                   -
        membership_first_tax_year        BIGINT        2373       28              1999              2026  2010.716392751791   8.686650520709994
         membership_last_tax_year        BIGINT        2373       28              1999              2026 2018.7871892119679   9.199437500034918
               membership_reports        BIGINT        2373       40                 1               112  10.21070375052676   9.986007244809935
                 membership_cards        BIGINT        2373       16                 1                22 1.5419300463548251  1.7071763469019414
historical_tieback_groups_for_pin        BIGINT        2373        3                 1                 3 1.1449641803624104 0.37644176017111824
        selected_for_construction       BOOLEAN        2373        2                 -                 -                  -                   -
                    selected_year        BIGINT        2293       28              1999              2026  2010.168774531182   8.527895000003326
               dist_to_boundary_m        DOUBLE        1623     1503 13.12344036932762 8521.104052695033 510.52511641618173   732.3200290486794
                    within_1500ft       BOOLEAN        2293        2                 -                 -                  -                   -
                           row_id       VARCHAR        2373     2373                 -                 -                  -                   -
