File: assessor_buildings.csv
Rows: 28481
Columns: 31
SHA-256 (saved bytes): 033b2a5d9e9a5ef93299916408534f7a20b4c0153956da8e60f5d273264862cd
Key: project_id
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                   column inferred_type non_missing distinct  min       max               mean                 sd
               project_id       VARCHAR       28481    28481    -         -                  -                  -
            source_family       VARCHAR       28481        2    -         -                  -                  -
             project_kind       VARCHAR       28481        6    -         -                  -                  -
           component_pins       VARCHAR       28481    28431    -         -                  -                  -
        construction_year        BIGINT       28441       84 1878      2026 2008.6551105797969  8.933403354150338
           dwelling_units        BIGINT       28221      262    1      1732  4.511179618014953  32.31996403500971
            building_sqft        BIGINT       28104     5816    0   1380640  6543.973348989468   39053.9196115126
                land_sqft        BIGINT       27626     5849    0 228167280 18578.467096213713 1673513.4344031385
             class_values       VARCHAR       27353       28    -         -                  -                  -
           source_row_ids       VARCHAR       28152    28152    -         -                  -                  -
                 tax_year        BIGINT       28152       27 2000      2026 2021.4355285592499  3.942992692457754
          permit_chain_id       VARCHAR        5479     5387    -         -                  -                  -
   first_application_year        BIGINT        5479       20 2006      2025 2017.0469063697756  4.465006224894662
         source_addresses       VARCHAR        1128     1115    -         -                  -                  -
          student_housing       BOOLEAN        1128        2    -         -                  -                  -
      conflicting_reports       BOOLEAN        1128        2    -         -                  -                  -
            parser_repair       BOOLEAN        1128        2    -         -                  -                  -
           parser_residue       BOOLEAN        1128        1    -         -                  -                  -
             earlier_pins       VARCHAR         924      924    -         -                  -                  -
         earlier_building        BIGINT         905      833 1144   1295800  93305.94254143647 166353.15287850233
             earlier_land        BIGINT         888      796 1330    577022 26404.977477477478  43930.40930766083
            earlier_units        BIGINT         908      222    1      1668   76.4295154185022  139.1523658224597
             earlier_rows       VARCHAR         924      924    -         -                  -                  -
        stable_membership       BOOLEAN        1128        2    -         -                  -                  -
    building_from_earlier       BOOLEAN        1089        2    -         -                  -                  -
        land_from_earlier       BOOLEAN        1101        2    -         -                  -                  -
        source_allows_far       BOOLEAN        1128        2    -         -                  -                  -
          component_count        BIGINT         256        2    1         2         1.01953125 0.1386538043148488
            permit_chains        BIGINT         210        3    1         3 1.0952380952380953   0.32514434111783
             permit_units        BIGINT         182       11    2        42 3.9835164835164836  4.379100635136736
conflicting_permit_counts       BOOLEAN         210        1    -         -                  -                  -
