permit_number,field,value,source,note
100071123,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","All three candidates (2843, 2841, 2835 S Broad) have 2006 revisions to their own permits (100068886, 100069014, 100061386)."
100095887,assign_lot,assessor_residential_17313100400000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",Candidate carries the permit's house number 2247 (misstreeted as S Oakley) at 19 ft; 2249 likely the sibling permit 100095888.
100108518,assign_lot,assessor_residential_25214150240000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",11722 S Princeton has 2006 permit 100144345 REVISION TO PERMIT #100108518 TO CORRECT ADDRESS.
100115887,assign_lot,assessor_residential_16133120610000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is addressed 811 Kedzie, same house number as the permit, 62 ft away."
100131220,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","1133 W 34th Pl got a new SFR permit 100423474 in 2012, so the 2006 house was not built there; 1139 W 34th Pl likely belongs to 100131218."
100134190,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Expired permit; candidates 718-726 E Pershing were all built 2006, before this 2007-11 permit, and none is at 736."
100142149,assign_lot,assessor_residential_16133120600000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","3-unit candidate is 63 ft from 819 S Kedzie vs 112 ft from 811 (whose building is 811 Kedzie), matching the 3 DU permit."
100157224,assign_lot,assessor_residential_14304031610000,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Candidate is at 2665 Hartland Ct, the permit's own address."
100160691,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv",2700-2706 N Hermitage had wiring permits in April 2007 before this permit issued; 2711 N Hartland has later alarm and garage-roof-deck work on its own building.
100166839,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","524 E 46th Pl received a new SFR permit 100619860 in 2016, so this 2007 house was not built there; 518/522 match sibling permits 100166859/100174501."
100173008,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","Only candidate 6720 S Dorchester is 1 unit, built 2006 before this 2007-08 permit, and matches sibling permits 100173010/100173011."
100173820,no_match,TRUE,"hand check, tasks/audits/construction_hand_checks/queue_first_pass.csv","2018 permit 100747292 reinstates this permit at 3958 S Drexel, so it was unbuilt then; 801 E Oakwood also qualifies for 100172917."
