File: price_boundary_property_type_fe_estimates.csv
Rows: 4
Columns: 13
SHA-256 (saved bytes): a9b93e6950ccd02fadbaf0179622bf39b6c7213fae80d1b546a4436f1ab3dfed
Key: market, specification
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                 column inferred_type non_missing distinct                   min                  max                  mean                    sd
                 market       VARCHAR           4        2                     -                    -                     -                     -
          specification       VARCHAR           4        4                     -                    -                     -                     -
       property_type_fe       BOOLEAN           4        2                     -                    -                     -                     -
                      n        BIGINT           4        2                 58468               240713              149590.5    105219.19980846334
     ward_pair_clusters        BIGINT           4        2                   140                  141                 140.5    0.5773502691896216
               estimate        DOUBLE           4        4   0.01748490548297024 0.029960663422066765  0.023338846795072914  0.006467047717607191
              std_error        DOUBLE           4        4  0.013388133368538292 0.016327420561311777  0.014803982163017586 0.0014369042697756655
                p_value        DOUBLE           4        4   0.02681005858307847   0.2694184169730379    0.1524067445208423   0.13439883750288423
         confidence_low        DOUBLE           4        4 -0.014177881305928182 0.003491604546532922 -0.005930414568444227    0.0092634587750183
        confidence_high        DOUBLE           4        4   0.04855680391630264  0.05642972229760061   0.05260810815859006  0.003739955584519125
         percent_effect        DOUBLE           4        4    1.7638661270726885    3.041400019567031    2.3629384297046085    0.6620730401266304
 percent_confidence_low        DOUBLE           4        4   -1.4077848456078734  0.34977072984192503   -0.5880870985638442    0.9210565287613549
percent_confidence_high        DOUBLE           4        4     4.975500032191937    5.805225470584907    5.4022031959133745   0.39416597499109884
