File: permit_event_study_high_discretion_stable_separate_500ft_coefficients.csv
Rows: 22
Columns: 9
SHA-256 (saved bytes): 4944f12c7107415d2282e6f433fd0befe40cf8c29b4e6fcd69503aaf5047aae9
Key: direction, event_time
Types: DuckDB inference from the complete saved CSV.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

         column inferred_type non_missing distinct                  min                 max                 mean                   sd
      direction       VARCHAR          22        2                    -                   -                    -                    -
     event_time        BIGINT          22       11                   -5                   5                  0.0    3.236694374850748
       estimate        DOUBLE          22       21  -0.3662719973895292   0.260200288582634 -0.04186843846317299  0.15542267289216158
             se        DOUBLE          22       21                  0.0 0.21912846271048161  0.12277669244852692  0.05399854138800281
         ci_low        DOUBLE          22       21   -0.685338955652806 0.05839686031168986  -0.2856444394345696  0.21905090493276436
        ci_high        DOUBLE          22       21 -0.07448119724361912   0.474139316438436  0.20190756250822367  0.15270686483700827
pooled_estimate        DOUBLE          22        2  -0.2314712163725157 0.06720102582356836 -0.08213509527447363  0.15285039299627023
      pooled_se        DOUBLE          22        2 0.059197862506361124 0.09627240393204047  0.07773513321920082 0.018973501472397247
 pooled_p_value        DOUBLE          22        2 0.018162246816995773 0.25918055778327076   0.1386714023001333  0.12334505302406512
